lake_id,arc1,arc2,arc3
1150000822,0.2431116,0.13434903,0.62253934
1150001092,0.61792564,0.34784493,0.034229428
1150002502,0.46276385,0.10922964,0.42800656
1150002592,0.30790573,0.43833,0.2537642
1150003802,0.05644215,0.12813163,0.8154263
1150004092,0.11129386,0.6095951,0.27911106
1150005262,0.10077802,0.42120597,0.47801596
1150005972,0.05267032,0.69504243,0.25228727
1150007303,0.23467988,0.27707702,0.4882431
1150007432,0.05125255,0.07526077,0.8734867
1150008142,0.04720886,0.10466302,0.84812814
1160000282,0.32375392,0.38691872,0.2893274
1170006442,0.21667288,0.2629193,0.52040786
1170013163,0.38491678,0.47417462,0.14090861
1170013972,0.6414469,0.2887421,0.06981102
1170014783,0.25324073,0.64417917,0.10258009
1220005463,0.31546754,0.20578328,0.47874916
1220013612,0.06907265,0.2303655,0.7005619
1220053053,0.25658607,0.42404687,0.31936705
1220056833,0.1235481,0.3006825,0.57576936
1220056903,0.43752223,0.28590903,0.27656877
1230003032,0.24985988,0.30676398,0.44337612
1230009732,0.028542878,0.49920958,0.47224754
1240009142,0.5401654,0.18167563,0.27815902
1240018052,0.023394814,0.18230067,0.79430443
1240019053,0.19686612,0.47310543,0.33002836
1250034252,0.22420177,0.15093015,0.6248681
1250051122,0.22048149,0.3594058,0.4201127
1250064892,0.035012342,0.91757184,0.04741583
1270003322,0.30551332,0.13199641,0.5624902
1270024123,0.12138873,0.35206527,0.52654594
1270028303,0.36856636,0.53925645,0.09217714
1270040752,0.33984318,0.30020818,0.3599486
1270041163,0.18354788,0.36055434,0.4558978
1270045763,0.038161397,0.24669698,0.71514165
1270054173,0.3331187,0.4176061,0.24927521
1310000402,0.40681657,0.24334064,0.3498427
1310005562,0.21273834,0.6738405,0.1134212
1320012743,0.44370013,0.33027625,0.22602369
1320015733,0.167022,0.14259201,0.690386
1320015883,0.16301022,0.74285865,0.09413111
1320018042,0.14208491,0.22697416,0.630941
1320022222,0.1086443,0.14516726,0.74618846
1320023692,0.594232,0.21286823,0.19289978
1320023702,0.40422887,0.3800196,0.21575154
1320026362,0.4879114,0.046575237,0.46551338
1320028172,0.3978405,0.059397355,0.5427621
1320029763,0.24956532,0.17328146,0.5771532
1320030072,0.24336416,0.49040264,0.26623315
1320031272,0.50088686,0.32975838,0.1693548
1320031292,0.35671443,0.27785462,0.36543095
1320035402,0.07667519,0.33511028,0.5882145
1320035532,0.25456643,0.29474604,0.45068747
1320036032,0.46001446,0.22119047,0.31879508
1320036142,0.45221272,0.24619065,0.3015967
1320037342,0.27120572,0.20477135,0.524023
1320038493,0.31173432,0.36939844,0.31886724
1320040872,0.016990123,0.1589586,0.82405126
1330003052,0.6780101,0.27245873,0.049531195
1330003162,0.4503061,0.33003923,0.21965474
1330006212,0.24144346,0.29696763,0.46158892
1330007723,0.16532294,0.29318058,0.5414965
1330008533,0.38567707,0.1108586,0.50346434
1330008622,0.24389942,0.7206194,0.035481106
1330010923,0.09323995,0.38963047,0.51712954
1330014893,0.3117035,0.377159,0.3111375
1330015103,0.49554014,0.41103292,0.09342697
1420040083,0.16829199,0.3523062,0.47940183
1420043703,0.65878516,0.10326272,0.2379521
1420045233,0.33922592,0.21023771,0.45053643
1420049113,0.64920235,0.20504335,0.14575425
1430002253,0.2719316,0.44516978,0.2828986
1430002872,0.11563815,0.04191651,0.8424453
1430004273,0.78383684,0.033139806,0.18302333
1430004323,0.26395816,0.47933474,0.2567071
1430005083,0.28133142,0.22623587,0.49243274
1440001863,0.38479432,0.34890983,0.26629585
1440005913,0.08352254,0.064000584,0.8524769
1440011113,0.12461844,0.3358885,0.539493
1450003703,0.28142545,0.39822644,0.3203481
1450007622,0.1905621,0.6013817,0.2080562
1450009233,0.40222767,0.12035146,0.47742084
1450009543,0.37047714,0.21205013,0.4174727
1450009923,0.40153807,0.082499534,0.51596236
1450011142,0.40313295,0.13145503,0.46541205
1450012863,0.27180225,0.42610705,0.30209067
1450014203,0.33348805,0.4553387,0.21117327
