lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8,arc9
1150000822,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150001092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150002502,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150002592,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.451388e-39
1150003802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150004092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150005262,0.0,0.0,0.0,1.0441942e-38,0.0,4.9473563e-21,0.5,0.0,0.5
1150005972,0.0,0.0,0.0,0.0,0.0,6.6254527e-15,1.3316593e-24,0.0,1.0
1150007303,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1150007432,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1150008142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150008332,0.0,1.0315522e-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1160000282,0.0,0.0,0.0,0.2857143,0.0,7.149783e-27,0.0,0.0,0.71428573
1170006442,0.0,0.0,0.0,0.0,0.0,7.07511e-40,0.0,0.0,1.0
1170013163,0.0,0.0,0.0,0.0,0.0,1.8276014e-30,0.0,0.0,1.0
1170013972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1170014783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1220005463,0.0,0.0,0.0,0.0,0.0,1.2213559e-15,0.0,0.0,1.0
1220013612,0.0,0.0,0.0,0.0,0.0,9.827159e-35,1.0,0.0,0.0
1220053053,0.0,3.0774413e-24,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1220056833,0.0,0.0,0.0,0.0,0.0,2.830064e-33,0.0,0.0,1.0
1220056903,0.125,0.0,0.0,0.125,0.0,8.496856e-25,0.0,0.0,0.75
1230003032,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1230005872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1230009732,0.0,0.0,0.0,0.0,0.0,4.7839699e-35,0.0,0.0,1.0
1240009142,0.0,0.0,0.0,0.0,0.0,2.4872e-41,0.0,0.0,1.0
1240018052,0.0,1.0,0.0,0.0,8.9026405e-30,0.0,0.0,0.0,0.0
1240019053,0.0,1.0,0.0,0.0,2.0083336e-12,0.0,0.0,0.0,0.0
1250010552,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1250034252,0.0,0.0,0.0,0.0,0.0,4.89e-43,0.0,0.0,1.0
1250051122,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1250064892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1270003322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270024123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270028303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1270040752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1270041163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270045763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270054173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310000402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310005562,0.0,7.6413955e-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1310009293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0709791e-37
1320012743,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1320015733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1320015883,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1320018042,0.0,0.0,0.0,1.5132503e-32,0.0,0.0,0.0,0.0,1.0
1320022222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1320023692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1320023702,0.0,0.0,0.0,0.0,0.0,0.0,3.668046e-21,0.0,1.0
1320025542,0.0,0.0,0.0,0.0,0.0,4.8280446e-12,1.219638e-39,0.0,1.0
1320026362,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3021237e-37
1320028172,0.0,0.0,0.0,0.0,0.0,1.4019896e-19,1.3776503e-11,0.0,1.0
1320029763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1320030072,0.0,0.0,0.0,0.0,0.0,3.2297691e-24,0.0,0.0,1.0
1320031272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1320031292,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1345793e-21
1320035402,0.0,0.0,0.0,0.0,0.0,4.0119778e-38,1.0,0.0,6.682422e-39
1320035532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320036032,0.0,0.0,0.0,0.0,0.0,2.1076994e-26,0.0,0.0,1.0
1320036142,0.11111111,0.0,0.0,0.11111111,0.0,4.5897707e-14,0.0,0.0,0.7777778
1320037342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1320038493,0.0,0.0,0.0,0.0,0.0,8.4460194e-27,0.0,0.0,1.0
1320040872,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1330003052,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1330003162,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1330006212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1330007723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1330008533,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1330008622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1330010923,0.0,0.0,0.0,1e-45,0.0,3.235509e-16,1.1659898e-11,0.0,1.0
1330014893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1330015103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1420023803,0.0,1.0,0.0,0.0,1.151505e-33,0.0,0.0,0.0,0.0
1420040083,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1420043703,0.0,1.0,0.0,0.0,2.5878924e-30,0.0,0.0,0.0,0.0
1420045233,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1420049113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1430002253,0.0,1.483809e-25,0.5,0.0,0.5,0.0,0.0,0.0,0.0
1430002872,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1430004273,0.0,4.2799024e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1430004323,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1430005083,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1440001863,0.0,0.2857143,0.0,0.0,0.71428573,0.0,0.0,0.0,0.0
1440005913,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1440011113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1450003703,0.0,1.979613e-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1450007622,0.0,1.0,0.0,0.0,1.1098182e-12,0.0,0.0,0.0,0.0
1450009233,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1450009543,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1450009923,0.0,1.0,0.0,0.0,1.242375e-14,0.0,0.0,0.0,0.0
1450011142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1450012863,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1450014203,0.0,0.33333334,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
1460002782,0.0,0.0041215485,0.0,0.0,0.99587846,0.0,0.0,0.0,0.0
1460009393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1510001923,0.0,0.0,0.0,0.0,0.0,6.788689e-20,2.8237745e-15,0.0,1.0
1510006093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1510006393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1530003042,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1530004152,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1530011512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1530012122,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1540002042,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1620001552,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1620004522,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1620008282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1620023612,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1620031802,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1620032342,0.0,0.99999964,0.0,0.0,3.5141503e-07,0.0,0.0,0.0,0.0
1620034183,0.0,2.4782153e-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1620063302,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1720000552,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1720001282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1720001342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1720003902,1.0,0.0,0.0,4.8e-44,0.0,0.0,0.0,0.0,0.0
1720003932,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1720004012,7.184894e-08,0.0,0.0,0.9999999,0.0,0.0,0.0,0.0,0.0
1720004142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1720004172,0.0,0.0,0.0,0.0,0.0,1.2492655e-25,1.0,0.0,1.5907104e-21
