lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8
1430004323,4.804756e-21,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1430005083,1.2659316e-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1440001863,1.6057586e-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1440005913,5.8477474e-29,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1440011113,1.7719844e-33,0.0,1.5269351e-32,0.0,0.0,0.0,0.0,1.0
1450003703,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1450007622,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1450009233,3.1830524e-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1450009543,2.0455743e-31,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1450009923,2.235381e-37,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1450011142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1450012863,9.91e-43,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1450014203,2.4074903e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1460002782,1.9581718e-32,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1460009393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1510001923,0.0,1.2989556e-26,0.0,0.0,0.0,0.0,1.0,0.0
1510006093,2.0754274e-38,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1510006393,2.5e-44,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1530003042,4.8248e-41,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1530004152,1.0416297e-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1530011512,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1530012122,2.9174e-41,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1540002042,1.5184978e-36,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1620001552,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1620004522,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1620008282,6.0818895e-33,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1620023612,9.762956e-37,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1620031802,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1620032342,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1620034183,5.6378625e-32,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1620063302,1.069191e-39,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1720000552,0.0,0.0,0.0,0.0,7.1209665e-37,1.847846e-39,1.0,0.0
1720001282,0.0,1.0,0.0,0.0,2.4e-43,1e-45,0.0,0.0
1720001342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1720003902,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1720003932,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1720004012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1720004142,0.0,6.5592866e-07,0.0,0.0,0.9999993,0.0,0.0,0.0
1720004172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1720004433,0.0,0.5,0.0,8.62624e-11,1e-45,0.0,0.4166667,0.083333336
1720004453,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
1720007172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1720008692,0.0,2.8664028e-24,0.0,0.0,0.0,0.0,1.0,0.0
1720009413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1720010272,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0
1720010283,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0
1720033122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1720041492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1720041532,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1720042152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1720046943,0.0,5.9534084e-09,0.0,0.0,1.0,0.0,0.0,0.0
1720052653,1.3609122e-31,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1720053693,3.19399e-33,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1720054503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1720056903,2.4889598e-21,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1720057352,4.6401493e-33,0.0,1.4539516e-33,1.0,0.0,0.0,0.0,2.0928924e-25
1720057912,1.5480645e-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1730047972,1.49e-43,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1730059332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1810025102,3.0866108e-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1810030972,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1810042913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1810079153,3e-45,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2110011792,1.7e-44,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2110017972,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2110020813,1.0952078e-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2110024562,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2110026463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2130000053,1.5696464e-32,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2130000103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2130000133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2130000363,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2130002132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2130004282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2130004742,1.594791e-39,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2130012372,1.4692968e-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2130012773,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2130024252,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
