lake_id,arc1,arc2,arc3,arc4,arc5,arc6
1150000822,0.0,0.0,0.0,1.0,0.0,0.0
1150001092,0.0,0.0,0.0,1.0,0.0,0.0
1150002502,0.0,0.0,0.0,1.0,0.0,0.0
1150002592,0.0,1.0,0.0,0.0,0.0,0.0
1150003802,0.0,0.0,0.0,1.0,0.0,0.0
1150004092,0.0,0.0,0.0,1.0,0.0,0.0
1150005262,1.0,0.0,0.0,0.0,0.0,0.0
1150005972,1.0,0.0,0.0,0.0,0.0,0.0
1150007303,0.0,0.0,0.5,0.0,2.317437e-12,0.5
1150007432,0.0,0.0,0.0,0.0,0.0,1.0
1150008142,0.0,0.0,0.0,1.0,0.0,0.0
1150008332,0.0,0.0,0.0,0.0,0.0,1.0
1160000282,1.0,0.0,0.0,0.0,0.0,0.0
1170006442,1.0,0.0,0.0,0.0,0.0,0.0
1170013163,1.0,0.0,0.0,0.0,0.0,0.0
1170013972,1.0,1.4097147e-38,0.0,0.0,0.0,0.0
1170014783,0.0,1.0,0.0,0.0,7.670043e-09,0.0
1220005463,0.875,0.125,0.0,0.0,8.482083e-34,0.0
1220013612,1.0,0.0,0.0,0.0,0.0,0.0
1220053053,0.0,0.0,0.125,0.0,1.2053849e-20,0.875
1220056833,1.0,0.0,0.0,0.0,0.0,0.0
1220056903,0.875,7e-45,0.0,0.0,0.125,0.0
1230003032,0.0,0.0,0.5,0.0,0.5,4.064841e-21
1230005872,1.0,0.0,0.0,0.0,0.0,0.0
1230009732,1.0,0.0,0.0,0.0,0.0,0.0
1240009142,1.0,0.0,0.0,0.0,0.0,0.0
1240018052,0.0,0.0,0.0,0.0,1.0,1.1052316e-24
1240019053,0.0,0.0,0.0,0.0,0.0,1.0
1250010552,0.0,0.0,0.0,0.0,0.0,1.0
1250034252,1.0,0.0,0.0,0.0,0.0,0.0
1250051122,0.0,0.0,3.137e-41,0.0,1.0,1.6993481e-19
1250064892,0.0,0.0,0.0,0.0,3.7616734e-29,1.0
1270003322,0.0,0.0,0.0,1.0,0.0,0.0
1270024123,6.186323e-32,0.0,0.0,1.0,0.0,0.0
1270028303,1.0,0.0,0.0,0.0,0.0,0.0
1270040752,1.0,4.582638e-36,0.0,0.0,0.0,0.0
