lake_id,arc1,arc2,arc3,arc4
1720046943,0.0,1.2743e-41,1.0,0.0
1720052653,0.0,3.5319772e-22,1.0,0.0
1720053693,0.0,1.751776e-21,1.0,0.0
1720054503,0.0,2.4443142e-27,1.0,0.0
1720056903,0.0,1.1695651e-08,1.0,4.4499304e-15
1720057352,1.4e-44,1.0,3.563049e-26,0.0
1720057912,0.5,0.5,0.0,0.0
1730047972,1.0,0.0,0.0,0.0
1730059332,1.0,0.0,0.0,8.8269786e-38
1810025102,7.4333e-41,4.041137e-23,1.3445114e-25,1.0
1810030972,0.0,0.0,1.0,0.0
1810042913,0.0,0.0,1.0,0.0
1810079153,0.0,1.0,2.9893459e-30,1.617881e-30
2110011792,1.0,2.4996953e-38,0.0,3.802199e-23
2110017972,0.0,7.753043e-25,1.0,0.0
2110020813,0.0,0.0,1.0,0.0
2110024562,0.0,4.7759243e-34,1.0,0.0
2110026463,0.0,0.0,1.0,0.0
2130000053,0.0,0.0,0.0,1.0
2130000103,0.0,0.0,1.0,0.0
2130000133,0.0,0.0,1.0,0.0
2130000363,4e-45,5.686146e-22,1.0,9.680677e-39
2130002132,0.0,0.0,1.0,0.0
2130004282,0.0,0.0,0.0,1.0
2130004742,2.9672325e-18,1.4179332e-13,1.0,4.5581784e-13
2130012372,6.391859e-32,2.4186776e-22,1.0,1.8478294e-34
2130012773,0.0,0.011725742,0.9882742,0.0
2130024252,6.297559e-19,0.0,0.0,1.0
2130026062,0.0,0.013302498,0.9866975,0.0
2130026152,0.0,0.013703287,0.98629665,0.0
2140010663,0.0,0.0,1.0,0.0
2140010713,0.0,3.0945407e-33,1.0,0.0
2140010723,0.0,5.020171e-28,1.0,0.0
2140014592,0.0,1.6849929e-33,1.0,0.0
2140016022,0.0,1.0822355e-06,0.9999989,0.0
2150000032,1.0,0.0,0.0,0.0
2150005082,0.0,0.0,1.0,0.0
2160000792,1.2384443e-22,1.7044813e-29,0.0,1.0
2160009382,0.0,0.0,1.0,0.0
2160009923,1.4252272e-21,1.1111764e-12,1.0,1.01376073e-22
2160020822,0.0,1.0,9.895e-42,0.0
2160025082,1.0,0.0,0.0,0.0
2160026602,1.0,0.0,0.0,0.0
2160030672,1.0,0.0,0.0,7.557131e-37
2160046863,0.0,2.2836455e-30,1.0,0.0
2210000352,0.0,7.659151e-13,1.0,0.0
2220000093,2.6261725e-18,3.899435e-14,1.0,1.4210392e-17
2220014373,4.1145696e-25,1.3238339e-13,1.0,0.0
2220017492,0.0,4.5118958e-38,1.0,0.0
2220020922,0.0,0.5,0.5,0.0
2220029372,0.0,0.0,1.0,0.0
2230005753,0.0,9.493664e-32,1.0,0.0
2230021903,0.0,1.5314307e-16,1.0,0.0
2230037623,2.9569038e-30,5.9855183e-30,1.0,0.0
2230043572,0.0,3.4267795e-12,1.0,0.0
2230044463,0.0,4.848687e-09,1.0,0.0
2230062373,0.0,0.0,1.0,0.0
2230073093,0.0,0.0,1.0,0.0
2240003112,0.0,0.0,1.0,0.0
2240007732,1.0,0.0,0.0,0.0
2240011142,0.0,0.0,1.0,0.0
2250031083,0.0,6.225134e-39,1.0,0.0
2250031093,0.0,3.6301018e-33,1.0,0.0
2250061402,0.0,0.0,1.0,0.0
2250061733,0.0,2.246e-42,1.0,0.0
2250085593,0.0,2.7665455e-06,0.9999972,0.0
2250088883,0.0,3.0098916e-14,1.0,0.0
