lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8,arc9
1140000602,0.0,0.0,0.0,0.0,1.2052469e-21,0.0,0.0,0.0,1.0
1150000822,0.0,0.0,0.0,0.0,1.0,0.0,1.8303109e-35,0.0,0.0
1150001092,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1150002502,0.0,3.6955247e-35,0.0,1.0,0.0,0.0,0.0,1.2629578e-36,0.0
1150002592,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1150003802,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3253314e-14
1150004092,0.0,0.0,0.0,2.1843885e-26,4e-45,0.0,0.0,0.0,1.0
1150004882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1150005262,6.927612e-37,0.0,0.0,0.5,0.5,0.0,0.0,0.0,3.0667116e-19
1150005972,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.256078e-16
1150006022,0.0,0.0,0.0,1.0,5.411294e-22,0.0,0.0,2.963e-41,1.8963572e-22
1150007303,0.0,0.0,0.0,0.6666667,0.33333334,0.0,0.0,0.0,0.0
1150007432,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1150008142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1150008332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1160000282,2.654e-41,1.3487e-41,0.0,0.5714286,0.2857143,0.0,5.472713e-35,5.147732e-35,0.14285715
1170006442,0.0,0.0,0.0,2.6552928e-07,0.0,0.0,0.0,0.0,0.99999976
1170013163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1170013972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1170014783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1220005463,0.0,0.0,0.0,0.875,1.424928e-09,0.0,1.6283362e-32,0.0,0.125
1220013612,0.0,0.0,0.0,4.834e-42,1.0,0.0,0.0,0.0,0.0
1220053053,1.8e-44,0.0,1.481e-42,0.8,0.2,0.0,4.897511e-14,7.03e-43,0.0
1220056833,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
1220056903,6.1831288e-34,4.3641206e-19,0.0,1.0,7.524718e-12,0.0,5.8028705e-17,1.2434796e-16,1.0469058e-11
1230003032,0.0,0.0,4.23347e-23,0.0,1.0,6.387492e-38,0.0,3.847e-42,7.7741e-40
1230005872,0.0,3.6492274e-34,0.0,0.0,0.0,0.0,1.0,2.3880006e-38,0.0
1230009732,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8720523e-26,1.7453857e-09
1230011242,0.0,0.0,0.0,2.9504922e-19,1.0,0.0,0.0,0.0,0.0
1240009142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1240018052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1240019053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1250010552,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1250034252,0.0,0.0,0.0,1.0613123e-36,0.0,0.0,0.0,0.0,1.0
1250051122,0.0,0.0,0.0,4.96642e-30,0.0,0.0,0.0,0.0,1.0
1250064892,0.0,2.2310556e-35,5.8095348e-31,9.83782e-40,0.5,0.5,0.0,3.2592838e-34,2.8516825e-34
1270003322,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.696518e-39
1270024123,0.0,0.0,0.0,1.0,5.8503825e-18,0.0,5.629503e-17,2.0033e-41,5.0758e-29
1270028303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1270040752,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1270041163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1270045763,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
1270054173,0.0,0.0,0.0,1.0,2.4860374e-23,0.0,0.0,0.0,0.0
1310000402,0.0,0.0,0.0,2.5031693e-33,1.0,0.0,0.0,0.0,5.6106836e-38
1310005562,0.0,0.0,0.0,1.0,0.0,0.0,1.5815e-41,0.0,0.0
