lake_id,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9
1150000822,1.0,0.0,2.2995862666771647e-52,3.09088378341975e-80,0.0,2.1701930233866574e-27,0.0,7.777801027211737e-28,0.0
1150001092,0.9999999999999996,0.0,9.691151059069576e-39,2.3669555273321175e-66,0.0,1.9486508850064664e-32,0.0,3.933641431177864e-16,0.0
1150002502,3.6136300477388727e-13,0.0,4.459275062880445e-23,4.0567421116815174e-50,0.0,8.126938939725136e-23,0.0,0.9999999999996376,0.0
1150002592,1.343426269461385e-26,0.0,2.925912555479479e-16,4.028532524614682e-45,0.0,1.2965661561823271e-46,0.0,1.0,0.0
1150003802,0.9999999999999085,0.0,2.2052689934292544e-37,1.1992468095186436e-65,0.0,5.13704796781911e-16,0.0,9.119039065702816e-14,0.0
1150004092,1.0,0.0,7.1763938598401505e-47,3.890280774988095e-75,0.0,2.228414145979087e-20,0.0,8.556483865136741e-23,0.0
1150005262,0.5,0.0,8.835443835504942e-20,6.975398399665745e-49,0.0,5.9587980980324696e-08,0.0,0.49999994041201745,0.0
1150005972,1.0,0.0,4.655308609889225e-37,1.8827939476642868e-66,0.0,1.1309591857426622e-24,0.0,9.845577052622546e-17,0.0
1150007303,1.0,0.0,6.953546787835795e-40,5.950857881821846e-70,0.0,4.0766846348442046e-38,0.0,3.994991261548292e-20,0.0
1150008142,1.0,0.0,1.1338851750086318e-41,4.1060214826369303e-69,0.0,9.557394943458511e-24,0.0,1.3075200391191702e-16,0.0
1160000282,0.00016448919993272533,0.0,2.572106983593602e-17,2.81983794538933e-46,0.0,6.544095585981862e-59,0.0,0.9998355406023888,0.0
1170006442,7.067018989948325e-08,0.0,1.6210847213058963e-34,1.8255863872007205e-64,0.0,0.9999999293296378,0.0,1.723494192591961e-13,0.0
1170013163,0.0,0.0,1.0,2.018029672622724e-15,0.0,0.0,0.0,1.0294186766428591e-146,0.0
1170013972,0.0,0.0,0.999999887450307,4.024149668931028e-27,0.0,6.944213776180777e-114,0.0,1.1254969124772396e-07,0.0
1170014783,0.0,0.0,2.1356559349532492e-08,1.8763236447352504e-36,0.0,3.037698025116163e-79,0.0,0.9999999786434375,0.0
1220005463,1.4772207320051528e-296,0.0,9.2683561564043e-13,2.3988211412958044e-42,0.0,2.4765065586201857e-118,0.0,0.9999999999990736,0.0
1220013612,2.632538448265364e-114,0.0,8.5368492342399e-17,8.001017465784201e-45,0.0,1.794300970628157e-46,0.0,1.0,0.0
1220053053,0.0,0.0,0.0008758720368993961,4.7273576753764314e-32,0.0,9.311983416280224e-54,0.0,0.9991241279631011,0.0
