lake_id,arc1,arc2
1150000822,0.5505901,0.44940993
1150001092,0.5511679,0.44883206
1150002502,0.5509322,0.44906777
1150002592,0.5518035,0.44819644
1150003802,0.5509902,0.44900978
1150004092,0.55088115,0.44911888
1150005262,0.5513538,0.4486462
1150005972,0.5520066,0.44799337
1150007303,0.5554193,0.4445807
1150008142,0.55062056,0.44937947
1160000282,0.5521211,0.44787896
1170006442,0.5496565,0.45034355
1170013163,0.5485323,0.45146772
1170013972,0.5497532,0.45024684
1170014783,0.54975617,0.45024383
1220005463,0.5472466,0.4527534
1220013612,0.54819536,0.4518047
1220053053,0.545091,0.45490903
1220056833,0.54981136,0.45018864
1220056903,0.5499019,0.4500981
1230003032,0.80576754,0.19423245
1230009732,0.54820114,0.4517989
1240009142,0.5499614,0.45003867
1240018052,0.64027375,0.35972622
1240019053,0.5629326,0.43706733
1250034252,0.55025005,0.44974992
1250051122,0.5563432,0.4436568
1270003322,0.5511552,0.44884476
1270024123,0.5500631,0.449937
1270028303,0.55360687,0.44639316
1270040752,0.55093545,0.4490646
1270041163,0.5507307,0.44926924
1270045763,0.5502603,0.4497397
1270054173,0.55042666,0.44957334
1310000402,0.55794764,0.44205236
1310005562,0.5317822,0.4682178
1320012743,0.54651946,0.45348054
1320015733,0.5461267,0.45387328
1320015883,0.55577326,0.44422668
1320018042,0.5491485,0.4508515
1320022222,0.54969525,0.45030472
1320023692,0.5498455,0.45015442
1320023702,0.550921,0.44907898
1320026362,0.5494815,0.4505185
1320028172,0.5493062,0.45069382
1320029763,0.54794854,0.45205146
1320030072,0.54895985,0.45104018
1320031272,0.5492607,0.45073938
1320031292,0.5487788,0.45122123
1320035402,0.5495225,0.45047745
1320035532,0.55043745,0.44956252
1320036032,0.5494161,0.45058385
1320036142,0.55047274,0.44952723
1320037342,0.5464287,0.4535713
1320038493,0.5474306,0.4525694
1320040872,0.55115324,0.44884676
1330006212,0.5994462,0.40055382
1330007723,0.5690625,0.43093747
1330010923,0.5526237,0.44737625
1330014893,0.5570991,0.44290093
1330015103,0.55652684,0.4434731
1420040083,0.56164414,0.4383559
1420043703,0.56275934,0.4372407
1420045233,0.54800916,0.45199084
1420049113,0.5587522,0.44124782
1430002253,0.57282704,0.42717296
1430002872,0.69193965,0.30806032
1430004273,0.6009251,0.39907485
1430004323,0.99977404,0.00022593707
1440001863,0.5897497,0.4102504
1440005913,0.56444305,0.43555698
1440011113,0.5547993,0.44520062
1450003703,0.54931056,0.45068938
1450007622,0.57806605,0.42193392
1450009543,0.57543623,0.4245638
1450009923,0.8856964,0.11430358
1450011142,0.99992466,7.529277e-05
1450012863,0.57652223,0.42347774
1450014203,0.8983222,0.10167773
1460002782,0.61612713,0.3838729
1460009393,0.57610774,0.4238923
1510001923,0.5448933,0.45510662
1510006093,0.50063264,0.49936733
1510006393,0.44849452,0.5515054
1530011512,0.47668892,0.52331114
1620001552,0.5554973,0.44450277
1620004522,0.5548772,0.44512284
1620008282,0.5542721,0.44572785
1620023612,0.5530929,0.44690713
1620031802,0.55250263,0.4474974
1620032342,0.55248004,0.44752
1620034183,0.5534196,0.4465804
1620063302,0.553316,0.446684
1720000552,0.5505283,0.44947165
1720001282,0.55037427,0.44962576
1720001342,0.55059177,0.44940826
1720003902,0.5502352,0.4497648
1720003932,0.5504032,0.4495968
1720004142,0.55055714,0.44944292
1720004172,0.55015916,0.44984087
1720004433,0.55040306,0.44959694
1720004453,0.5506767,0.4493233
1720007172,0.5510117,0.4489884
1720008692,0.55080813,0.4491919
1720009413,0.55064076,0.4493593
1720010272,0.5517152,0.4482848
1720010283,0.55297434,0.44702563
1720033122,0.5515211,0.4484789
1720041492,0.55326885,0.44673118
1720041532,0.55113924,0.44886073
1720046943,0.5512077,0.44879228
1720052653,0.5686871,0.43131295
1720053693,0.5544033,0.44559675
1720054503,0.56115055,0.43884945
1720056903,0.5598828,0.4401172
1810025102,0.27263546,0.72736454
1810030972,0.5498565,0.45014352
1810042913,0.5491932,0.45080677
1810079153,0.36820498,0.63179505
2110017972,0.5488969,0.45110306
2110020813,0.5021609,0.4978391
2110024562,0.5412871,0.45871282
2110026463,0.4760283,0.52397174
2130000053,0.55697703,0.4430229
2130000103,0.51640713,0.4835929
2130000133,0.5136755,0.48632452
2130000363,0.5399885,0.46001154
2130002132,0.5492194,0.4507806
2130004282,0.5560982,0.44390184
2130004742,0.5333042,0.46669573
2130012372,0.49779007,0.50220996
2130012773,0.541902,0.45809808
2130026062,0.54900783,0.45099217
2130026152,0.55413115,0.44586882
2140010663,0.5425523,0.45744777
2140010713,0.55036634,0.44963366
2140010723,0.54826105,0.45173898
2140014592,0.54965466,0.45034534
2140016022,0.55174243,0.44825754
2150005082,0.550108,0.44989192
2160009382,0.54480356,0.45519653
2160009923,0.49214807,0.50785196
2160046863,0.5511642,0.44883585
2210000352,0.55036503,0.4496349
2220000093,0.41595736,0.58404267
2220014373,0.34502912,0.6549709
2230005753,0.5407951,0.45920488
2230021903,0.5457541,0.45424592
2230037623,0.5021534,0.49784663
2230043572,0.53580403,0.46419594
2230044463,0.5171013,0.4828987
2230062373,0.55019486,0.44980508
2230073093,0.5485771,0.4514229
