lake_id,comp1,comp2,comp3,comp4
1150000822,1.0,3.1440635557299367e-96,1.956365570729066e-42,5.090336010027451e-22
1150001092,0.9999999938411612,1.781813286572577e-79,4.158304494555074e-26,6.1588389337479034e-09
1150002502,4.557618687990676e-09,1.9489780381319343e-69,4.5673745689608695e-14,0.9999999954423373
1150002592,1.2435942057543003e-35,2.0503225107287017e-53,1.8374582757865106e-11,0.9999999999816254
1150003802,0.9999999975795757,2.208336519870974e-81,3.7864716397074825e-30,2.4204245850367192e-09
1150004092,1.0,4.869682945683286e-90,1.195164541777169e-39,8.727514560949258e-17
1150005262,0.49999999992089794,1.249968126019691e-63,2.428220553214776e-19,0.5000000000791023
1150005972,0.9974687710768999,7.256250080036051e-69,7.835685853820057e-26,0.002531228923099508
1150007303,0.999837453422598,1.7987992615619168e-68,1.0404644957271215e-28,0.0001625465774020946
1150008142,1.0,4.8516473270726455e-92,8.88245138042713e-36,8.490716244421386e-19
1160000282,2.082291212304181e-22,7.694032036216947e-53,5.6074013923812196e-12,1.0000000297967149
1170006442,0.9999993216570369,1.1049910671463942e-74,5.4247365896545e-34,6.783429628625772e-07
1170013163,0.0,1.3163684294407637e-23,1.0,0.0
1170013972,1.2371633321670165e-247,5.653107817142557e-37,1.0,4.5044639575344846e-33
1170014783,5.58137862991922e-227,2.2182846580408045e-39,0.9999999999958931,4.103006263390905e-12
1220005463,1.7217044072278684e-259,2.1227471909746976e-39,1.0,9.508967281781284e-26
1220013612,1.9056722029836354e-70,4.457075804442557e-48,0.00025030967784339046,0.9997496903221542
1220053053,5.443918094897977e-195,6.444489336423343e-38,0.9999999999823448,1.765512869002893e-11
1220056833,0.9999999999986517,1.111232139903478e-80,1.5647633726272625e-40,1.3479959693724011e-12
1220056903,0.9999999999995333,2.2930061804037202e-81,3.1340114456839284e-41,4.660978617868698e-13
1230003032,0.9997871087372229,6.800306079621273e-72,7.693993001008191e-32,0.00021289126277721648
1230009732,0.0,5.887764461377535e-37,1.0,1.6157526813917591e-37
1240009142,0.0,4.177909180679789e-39,1.0,1.7491488215714905e-39
1240018052,4.7758787293908466e-57,2.4184378707080356e-56,2.144316245137455e-17,1.0
1240019053,0.0,5.318893211342799e-34,1.0,5.892866476810146e-68
1250034252,0.9999999971512761,6.344949703153332e-77,5.2857700588236194e-36,2.848723475969832e-09
1250051122,1.0,8.666749087174731e-87,1.1868756754917643e-46,2.1387057078845742e-17
1270003322,9.768095121493223e-12,8.944287235588659e-66,4.601209265894072e-13,0.9999999999897753
1270024123,0.0,1.4107258950808592e-39,1.0,4.33128975023183e-70
1270028303,0.0,9.665854769039575e-25,1.0,1.1051571312160194e-184
1270040752,3.748306027041919e-05,4.184803077552374e-68,1.0462272559028726e-24,0.9999625169397294
