lake_id,comp1,comp2,comp3,comp4,comp5,comp6,comp7
1150000822,9.8033695,11.158205,10.000095,10.59408,9.408192,10.899741,11.167156
1150001092,10.51745,10.578413,10.100026,11.032687,10.001782,10.19751,10.121341
1150002502,12.240285,10.918384,10.357574,11.140266,10.797053,12.00743,10.106055
1150002592,6.316819,5.5625625,5.354183,6.898176,4.959399,6.2866364,4.0053463
1150003802,9.878467,10.455269,9.302709,9.079755,9.03901,9.676014,9.857514
1150004092,10.918324,9.085301,9.540817,9.067643,8.994355,8.49068,8.926298
1150005262,6.791031,6.2116013,6.054373,7.482191,6.70982,7.959769,7.2254686
1150005972,4.7610774,6.739573,5.674244,7.2198806,6.1114464,6.3388968,4.1688495
1150007303,2.2033236,2.2585583,1.741463,2.102869,2.5678906,2.2032342,1.9553406
1150008142,11.258906,10.876506,10.2289715,11.895598,11.362398,11.246621,11.398989
1160000282,4.990954,4.652076,4.2166166,4.7290807,4.954709,4.608913,4.883191
1170006442,3.872716,2.7401264,4.405083,2.0310109,4.7488112,3.9605474,3.8609016
1170013163,6.51343,7.0013967,5.421819,6.556943,4.678797,7.0711846,5.929166
1170013972,4.798039,3.024087,5.4329557,2.699453,4.777635,3.0377643,4.937179
1170014783,4.299638,4.776074,3.5385172,3.5128293,4.322318,3.4616957,4.2872458
1220005463,2.6252232,2.7193363,2.6225529,3.1759038,2.643354,2.9583821,2.9370131
1220013612,6.2932296,8.033102,6.779446,8.064603,5.841192,5.920621,6.4691534
1220053053,2.257587,1.5727681,2.2559981,2.0066693,1.7124478,1.4426543,2.0399623
1220056833,3.381201,3.3633654,1.9682963,3.6043353,2.2949352,3.1948972,1.7067606
1220056903,2.794708,2.4080398,2.4694452,3.1252422,2.7667563,2.5285678,3.3986094
1230003032,0.0054791835,0.005552251,0.007624518,0.002975856,0.007792267,0.005073165,0.008398793
1230009732,2.1587927,4.7687445,3.8602674,3.7035012,3.7618327,4.4613094,2.878133
1240009142,4.135932,6.415368,6.1336155,6.611594,6.84391,5.813962,5.1375103
1240018052,0.15550058,0.02084512,0.026615098,0.03293716,0.022408504,0.045314353,0.041456055
1240019053,0.71695673,0.38229674,0.45213905,1.8315746,0.5254605,0.48962972,0.37972164
1250034252,4.792057,3.9983191,3.6287966,4.4083695,4.757868,3.7614114,3.1268756
1250051122,0.09995323,0.10417415,0.106013656,0.12555839,0.058878325,0.036230326,0.07324998
1270003322,10.065909,9.525067,10.086665,9.3868,10.246949,10.079253,10.497313
1270024123,6.359792,8.119472,9.065963,6.329279,8.216412,6.711577,6.840976
1270028303,5.749729,5.888328,6.743349,7.6657043,7.007399,7.881789,7.045302
1270040752,7.0349054,5.1758785,6.8463993,5.3652883,6.8297887,5.595996,5.9906673
1270041163,6.2796164,7.3210006,8.170664,6.7964582,7.8834276,6.1567383,7.850115
1270045763,8.423313,9.264282,9.299981,9.097612,8.271267,9.566896,9.670198
1270054173,8.98589,8.992651,9.874637,8.746128,7.2355037,9.417346,7.6556034
1310000402,9.776067,8.248541,9.000755,9.351541,9.266093,10.017341,9.217152
1310005562,0.052413248,0.03704137,0.10146243,0.08476763,0.048893128,0.04196921,0.04002094
1320012743,1.2867868,2.1997862,1.9160239,0.8196094,2.2289774,1.5395037,2.0527294
1320015733,2.0431142,1.8886755,1.1252942,1.415587,2.046884,1.6987222,1.8484132
1320015883,2.1225543,1.919337,2.516559,1.4692644,1.6393243,1.1270891,1.4605446
1320018042,6.237399,5.551644,7.3578935,8.936652,6.3356056,6.138715,7.2864337
1320022222,6.6010113,6.004244,5.622525,7.12967,5.8201966,5.5174046,6.7869678
1320023692,5.9534593,5.569126,4.2255893,5.3717074,5.8894258,5.5183916,5.897601
1320023702,5.547186,6.282838,4.792106,5.616457,6.0861344,5.489978,4.462285
1320026362,5.6678,5.59869,4.99889,6.588008,5.975916,4.694568,4.5455823
1320028172,6.774968,6.084607,7.127939,7.1935873,5.040978,6.556307,7.4460416
1320029763,2.8003435,2.293245,3.100246,2.2645147,4.938049,3.9347827,3.8548763
1320030072,3.466591,3.7488227,5.0264387,3.2170308,2.1755624,3.431283,2.1920977
1320031272,3.5262654,2.7849805,3.0894575,3.2184627,4.375041,2.8717046,3.5752616
1320031292,3.6897867,4.91829,3.4135432,3.437093,1.5917941,2.9169347,3.5247514
1320035402,6.92262,7.804678,6.2852993,6.642587,6.848096,7.146021,6.2496133
1320035532,8.526953,7.621162,9.407874,7.989266,8.315501,9.271343,8.925957
1320036032,6.3059177,5.4290004,5.8445277,5.000311,5.2001815,5.0241413,5.2233987
1320036142,4.221531,4.362645,4.7593546,4.5986276,4.701918,4.349942,4.6921477
1320037342,3.5253634,3.6409438,4.2484574,1.9498667,2.445721,2.832626,4.4098253
1320038493,3.0915499,2.3117452,3.0091696,3.6475546,5.3869147,1.3511642,4.35847
1320040872,0.7382038,2.577645,2.5664845,3.2880714,1.4332542,0.6781687,1.6288029
1330006212,0.04753416,0.06798633,0.07664953,0.020068213,0.005127833,0.013253674,0.00981119
1330007723,0.08684424,0.10539126,0.038512535,0.057613347,0.016745497,0.035549752,0.04338424
1330010923,6.0715685,6.151209,6.524669,7.696302,7.673318,6.7024264,6.3696427
1330014893,5.111889,4.66609,5.856019,4.953697,5.0967846,3.9429119,4.930748
1330015103,4.250928,3.7700272,4.619528,4.690651,4.2073765,4.2325835,3.4880073
1420040083,0.77463377,0.6052256,0.53800845,0.78841376,0.5287631,0.4116904,0.5174518
1420043703,1.6079726,0.9655672,0.92007434,2.2560625,0.97168976,1.181129,0.7472777
1420045233,1.3856964,1.6960343,1.1164248,0.8294085,0.69650316,0.5094393,0.75450826
1420049113,2.0607824,1.7568755,2.104281,2.6220167,1.4236894,2.0182807,1.6726367
1430002253,0.36596859,0.39026162,0.5296651,0.34064835,0.20445572,0.18545707,0.3791427
1430002872,0.0029884772,0.004242849,0.006306004,0.002939722,0.00078961666,0.003053854,0.0018148378
1430004273,0.7435779,1.3806188,1.3683318,0.6516145,0.43859676,0.52384907,0.5335954
1430004323,0.0030898082,0.0045685065,0.0009238285,0.00040285944,0.0017073797,0.0070742923,0.0046850406
1440001863,0.41345033,0.42896342,0.5720164,0.36363104,0.53875756,0.45560452,0.49917132
1440005913,2.3625324,1.7221621,1.3486503,1.3120948,0.8990904,0.6980495,1.1940978
1440011113,0.90883785,1.1593617,1.463007,2.2527509,1.0845724,1.3315375,2.14372
1450003703,0.6787479,1.7559651,1.1171056,1.3531418,0.7464827,1.0262032,0.9337102
1450007622,0.63490826,0.6363819,0.691825,0.62284005,0.3947858,0.2693796,0.30108762
1450009543,0.9937289,0.6094779,2.044102,1.2687473,0.62960184,1.7681078,0.65499425
1450009923,0.0019787482,0.00065058604,0.0016434564,0.0043103937,0.0007018009,0.001520953,0.0016152338
1450011142,0.008756893,0.0029458886,0.016945532,0.016336037,0.0043086326,0.007332719,0.01783277
1450012863,1.4381441,1.7815404,1.780768,2.7005777,1.8671434,1.5884104,2.9351358
1450014203,0.0018589904,0.0022236924,0.0033363702,0.0012321814,0.0007831106,0.0019279765,0.0008502161
1460002782,0.22832291,0.17109069,0.07922613,0.19655252,0.341918,0.25770625,0.08274838
1460009393,1.7396524,1.6844542,1.1709151,1.6514174,0.25454208,1.2718889,0.5162522
1510001923,7.713593,8.335247,6.135263,5.6171093,5.988553,5.4564433,5.756342
1510006093,1.7395563,0.8235842,1.5397146,1.3787369,0.9095582,0.43689856,1.7115402
1510006393,0.3625844,0.28553212,0.23923141,0.30566335,0.29575607,0.4683415,0.39702812
1530011512,0.53567314,0.4836918,0.38134402,1.0422235,0.6042628,0.78377527,0.70096546
1620001552,4.1106696,1.5317625,1.8373138,3.079536,1.9415659,1.4324934,1.9956102
1620004522,1.8743352,2.9774373,0.6553869,2.8139672,0.80264866,2.488434,1.2060107
1620008282,1.5418746,1.9744903,1.216302,3.3994317,0.9702892,1.4835088,1.23815
1620023612,1.9483465,1.9789811,1.5984957,1.7354249,1.7055773,1.1971159,1.3510009
1620031802,1.243174,2.0420744,1.558835,2.4432404,1.3207568,0.8800801,2.019879
1620032342,1.3508966,1.3295903,1.313414,1.1702996,0.971959,3.6016405,1.7823728
1620034183,1.1356224,2.485955,0.91086066,1.8549517,2.1782777,1.5769993,1.3990422
1620063302,1.6692878,1.1450202,1.36146,1.6171528,1.8039365,1.0747567,2.5106642
1720000552,8.22751,6.5225115,7.5758276,6.9902673,6.3747454,7.101736,7.943472
1720001282,6.9095936,7.639043,6.595422,6.8151746,8.467137,7.1972985,6.736935
1720001342,8.307107,8.193357,5.374481,7.425292,7.362341,7.721551,6.9235616
1720003902,7.76486,8.3121395,8.366297,7.7147,8.092436,7.8479705,7.2800536
1720003932,10.961464,11.592438,9.923319,10.70734,11.833094,11.995601,12.94669
1720004142,10.620384,12.314444,10.3130665,10.737428,10.4826355,12.096122,9.883919
1720004172,7.980403,7.0278716,5.574001,6.962052,6.855452,5.5154376,6.893663
1720004433,6.5265956,6.9099245,6.6705894,6.954788,6.592847,6.8011446,6.224836
1720004453,4.792409,6.2154617,6.09846,5.1360397,4.9386873,5.6070232,4.8218355
1720007172,5.4313946,7.7874384,6.402868,5.541517,6.013705,5.8099594,5.5386395
1720008692,7.036283,8.560606,6.8475347,6.038854,5.872364,6.5954223,6.871047
1720009413,6.480851,5.9940844,5.5525403,5.2300243,4.5026374,4.005622,5.862757
1720010272,5.5754557,5.996017,6.228028,6.440368,6.4765353,5.3431444,6.4301286
1720010283,3.6666307,3.8474,4.213113,3.4850705,3.2000942,3.2239072,3.9625134
1720033122,1.8124491,4.041955,2.2237966,2.9054725,1.5265744,2.4930816,1.4928118
1720041492,11.990491,12.852912,12.187035,14.3394375,14.260735,13.423112,12.405932
1720041532,13.6039915,13.181397,11.423492,11.269375,13.215565,14.984548,13.60662
1720046943,10.6465435,9.442324,10.798071,11.641724,9.876582,10.9106655,10.131845
1720052653,1.569414,1.7629964,1.5528626,2.4359236,1.4129212,1.344758,1.7645135
1720053693,2.0642376,2.280569,3.1835759,2.337203,1.9521861,1.5141246,2.2614994
1720054503,2.2414553,1.492972,2.4762108,3.1874259,3.5366912,3.102788,4.003076
1720056903,1.2009208,0.98392326,1.1006058,1.0336756,1.1019272,0.97288245,0.98468286
1810025102,0.0058805235,0.010175627,0.010926174,0.0019079891,0.0067717964,0.0096431775,0.005581825
1810030972,6.7819004,8.380473,5.9285183,7.048193,6.6819696,8.674528,6.657221
1810042913,5.022286,4.989236,5.3748074,4.048691,4.169475,4.292678,2.9877717
1810079153,0.058634482,0.075885035,0.06576692,0.037283458,0.041039973,0.034521125,0.05339738
2110017972,6.3842173,4.6316257,4.8251667,4.320732,4.004104,5.4544125,4.8487244
