lake_id,comp1,comp2,comp3,comp4,comp5,comp6
1150000822,10.793183,11.713626,10.595956,12.959338,11.146255,10.556053
1150001092,12.267027,10.947494,11.429183,10.992676,11.417839,10.257294
1150002502,13.352913,11.455008,11.528463,12.185915,10.703943,12.729015
1150002592,6.2754054,5.39777,6.574518,5.534405,7.2179523,5.535797
1150003802,10.111804,10.821593,11.453904,10.028023,9.661672,10.355808
1150004092,10.5362425,10.647255,10.777198,9.259213,10.673821,8.426212
1150005262,7.3022676,8.95688,6.997843,8.277033,6.126524,7.2727346
1150005972,6.8350925,7.3277807,7.3857136,5.421737,5.318696,5.7642307
1150007303,1.6334064,3.1289992,2.072569,2.4438086,2.7534897,1.9093528
1150008142,12.151071,12.212265,10.905062,12.158917,12.707089,12.481346
1160000282,4.9246573,4.86028,6.1465425,4.560832,4.9562445,5.202506
1170006442,4.085595,4.5168476,3.060061,4.9040027,3.084456,4.1051435
1170013163,6.741312,5.2030754,7.2826705,6.702016,6.822269,7.310783
1170013972,4.509673,3.4860072,5.1340528,4.6075416,4.7896376,4.1069446
1170014783,3.922399,4.2969913,4.5639524,3.8969278,4.7091117,4.7730412
1220005463,2.8958168,3.662538,2.8384585,2.8805683,3.3594844,2.6241465
1220013612,6.9154787,6.343153,7.100741,7.4678535,7.1308794,9.041115
1220053053,2.0137994,2.0462894,1.5611848,2.3968275,2.1312191,2.1811862
1220056833,3.0253587,2.407682,2.695267,3.6189003,3.2640977,3.0902464
1220056903,2.8249729,3.1357725,2.7640836,3.0490623,3.4723153,2.8404937
1230003032,0.0066142255,0.006792633,0.014950193,0.004979216,0.0044237436,0.0020126856
1230009732,4.3064713,4.0465555,3.0855186,3.4678524,4.710953,4.1273737
1240009142,7.6363864,6.0975566,7.262023,5.012341,6.507575,5.612693
1240018052,0.03631074,0.025687275,0.039395228,0.089980304,0.009147624,0.11918029
1240019053,0.5538797,0.73066187,1.0581694,0.33734542,0.22313282,1.5366739
1250034252,4.557917,4.5340953,4.558619,4.248893,4.5012593,4.007949
1250051122,0.1567116,0.06979714,0.010895133,0.050004467,0.14406992,0.12919518
1270003322,9.906201,10.708734,11.779362,10.115634,11.396611,10.937008
1270024123,7.7541647,8.449184,8.388239,6.6196747,7.5898647,9.118523
1270028303,7.3948903,8.425218,7.8643813,8.28608,6.9647007,5.581129
1270040752,5.812093,6.283803,6.5507774,6.8502874,8.694696,5.545094
1270041163,8.2442045,7.900261,7.918777,7.7929564,6.6217985,8.346191
1270045763,9.971508,9.505409,9.421163,10.359073,9.598236,10.155102
1270054173,9.582761,9.510302,8.16103,10.258886,9.590749,9.405857
1310000402,10.115686,9.98299,9.903156,9.547623,9.437459,11.203289
1310005562,0.034914628,0.06285392,0.09072772,0.01966619,0.07489422,0.0945678
1320012743,0.9757918,1.2728646,3.3238056,1.6628456,1.6978456,2.2455955
1320015733,1.7316891,2.3449378,1.5606508,2.2109098,1.7470222,1.5940931
1320015883,1.6373999,2.3779812,3.322458,1.1966531,1.8095505,1.0268494
1320018042,5.2975993,8.039026,7.004321,8.510503,8.053347,7.504289
1320022222,8.231214,5.446349,7.3771877,4.9433002,7.4359493,6.9164653
1320023692,5.024668,6.3233047,5.5481973,7.5789976,5.8149867,5.3543406
1320023702,5.4098606,5.8619385,6.444085,6.4906445,4.770915,6.5329523
1320026362,7.6507344,6.101066,5.8920107,6.472918,4.586529,4.6121273
1320028172,7.0148816,8.044667,6.3714995,7.088054,6.7649055,7.6139774
1320029763,5.2820773,2.8766353,3.70749,3.1958368,3.3381991,3.0992312
1320030072,4.0416713,2.9576497,3.9491496,4.0146103,3.5639017,3.05515
1320031272,3.1239378,2.7332,2.9285028,5.4861026,2.6298172,4.847238
1320031292,2.8170314,4.5901065,3.1542022,2.6514902,4.0058446,4.5882406
1320035402,7.076616,7.558483,7.9579363,6.589747,8.034186,7.2196674
1320035532,8.929085,9.264595,9.727577,8.72604,9.251214,9.825308
1320036032,6.181347,6.1022115,5.9115806,5.720091,6.0052333,5.356629
1320036142,4.8519654,5.3444147,4.905547,4.8458214,4.6482787,4.8042774
1320037342,3.5657747,2.6852975,3.5703328,4.276134,3.7275875,3.5702572
1320038493,4.273728,3.9586186,3.3095791,3.6536152,3.7312338,2.5561147
1320040872,1.6348047,1.4872671,2.5394163,2.1939862,1.6454571,2.4995775
1330006212,0.035978593,0.02575504,0.05947568,0.047747426,0.02491926,0.029293742
1330007723,0.07321891,0.039908394,0.103209004,0.07036536,0.049194388,0.02045385
1330010923,6.962976,9.13049,6.009296,7.867215,6.91028,6.8970027
1330014893,4.60221,5.9335213,4.572962,5.7128773,4.8658733,6.380981
1330015103,5.2063694,4.3885584,4.372768,4.629608,4.3516197,4.19555
1420040083,0.74631274,0.74707144,0.6439628,0.27795178,1.0168867,0.43079954
1420043703,1.5874426,1.269576,1.4834641,1.6517619,0.8573157,1.1766651
1420045233,0.99374455,0.69536936,1.6425638,0.8450306,0.8031785,1.5070634
1420049113,1.7350826,1.5920334,2.3401523,2.4288113,2.9052224,1.675187
1430002253,0.42045152,0.46152258,0.31094593,0.5532,0.15299058,0.32487476
1430002872,0.006063011,0.00058935466,0.0005572324,0.0065220264,0.001673543,0.0044550463
1430004273,0.76962006,1.3445246,0.8373151,1.6195422,0.30947366,0.3536692
1430004323,0.000745302,0.005532372,0.0056389626,0.0034094125,0.003249832,0.0022024666
1440001863,0.55508876,0.41618326,0.40304613,0.52177805,0.56520605,0.57402027
1440005913,2.0063565,1.4025166,0.6609761,2.2226646,0.71191984,1.8420837
1440011113,0.82330835,1.6738548,0.9334469,1.8746756,2.158201,2.1442904
1450003703,1.472484,0.6629317,0.9553503,1.3342568,1.2628007,1.3786883
1450007622,0.3460892,0.34990767,0.9975399,0.35766816,0.43247643,0.81428856
1450009543,1.7620512,0.9665498,0.7890388,1.5463012,1.5870748,0.74102706
1450009923,0.0015450106,0.0006631683,0.0017041737,0.004432616,0.0013378211,0.0016659498
1450011142,0.024521017,0.0190897,0.009326665,0.006146518,0.005555861,0.0044219703
1450012863,2.539256,2.3190415,2.1485615,1.398999,2.3282447,2.349682
1450014203,0.0017514955,0.0025299955,0.0025298635,0.0011660471,0.0021393923,0.0011845405
1460002782,0.20771652,0.19925986,0.15947181,0.17788751,0.2868075,0.2266953
1460009393,0.89268166,1.5547318,1.4566814,1.6999432,0.7353451,1.3532131
1510001923,7.3747554,7.505768,7.2414165,6.5891914,6.696364,6.338702
1510006093,0.92489684,0.57439643,1.7546422,1.2169228,1.2243062,2.2365105
1510006393,0.37628743,0.47743988,0.41679946,0.41457686,0.2965059,0.2017458
1530011512,1.0284052,0.9173212,0.82621884,0.7021913,0.29279536,0.43828583
1620001552,2.522,1.7082648,2.4735928,2.9309113,1.9230139,3.221226
1620004522,2.3906674,2.003869,1.7888228,1.5892931,2.3823745,1.7381063
1620008282,0.9472912,2.40344,3.0012448,1.0437677,0.85916394,2.7291474
1620023612,1.8687594,1.3070729,3.0526545,1.9017472,1.2235367,1.3314996
1620031802,0.7049017,2.5441487,1.8895272,1.4235507,1.5486135,2.5794716
