lake_id,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8,arc9
1150000822,0.072606646,0.00079274335,0.06833304,0.02980451,0.33439592,0.26409534,0.087939136,0.086276464,0.055756252
1150001092,0.069534175,0.016049339,0.0826077,0.102116026,0.3242326,0.12255232,0.04324175,0.2273934,0.012272783
1150002502,0.19054738,0.12057803,0.029161708,0.039596565,0.029159386,0.29217872,0.05296335,0.053001355,0.1928135
1150002592,0.09461423,0.020882817,0.037779454,0.05505055,0.030575411,0.3704092,0.08190426,0.27515998,0.03362408
1150003802,0.09136906,0.010348403,0.09503847,0.003492503,0.27916133,0.07290626,0.087210864,0.28157416,0.07889902
1150004092,0.12021198,0.077061914,0.0102876015,0.04964711,0.10672191,0.17784932,0.09059647,0.30548328,0.06214044
1150005262,0.08042246,0.05183696,0.31778723,0.03397957,0.03156317,0.22917588,0.10423438,0.100989096,0.05001122
1150005972,0.46840954,0.035206523,0.17481099,0.004315359,0.1434758,0.080509216,0.042097297,0.014331321,0.036843903
1150007303,0.32305765,0.014150405,0.0937581,0.01632503,0.018239167,0.16261835,0.014926385,0.34400362,0.0129212355
1150008142,0.09575346,0.023394557,0.031094566,0.017644195,0.20253283,0.35444608,0.035732653,0.01494365,0.22445807
1160000282,0.23094575,0.016951635,0.17590402,0.05466368,0.033115342,0.18555856,0.05407856,0.2217953,0.026987182
1170006442,0.43397322,0.023955446,0.24890405,0.001183754,0.056564715,0.10943001,0.009691977,0.058276683,0.05802004
1170013163,0.07128482,0.0024160773,0.4001497,0.0014177286,0.3089962,0.09128159,0.005474389,0.112803794,0.006175609
1170013972,0.22126418,0.003549674,0.092898995,0.014517843,0.06063609,0.31481275,0.056131206,0.19990638,0.036282822
1170014783,0.2914764,0.018916024,0.36144662,0.037240624,0.074919395,0.14344475,0.020664696,0.03491889,0.016972493
1220005463,0.14983329,0.014909551,0.32368243,0.01594086,0.03320135,0.19923666,0.02474918,0.2191325,0.01931422
1220013612,0.39912626,0.0087891035,0.09089348,0.0042201467,0.05122569,0.14598384,0.1794317,0.08564884,0.034681022
1220053053,0.27924562,0.014599156,0.22501774,0.017492447,0.008382994,0.16914569,0.012494609,0.26318157,0.010440203
1220056833,0.4175951,0.00826201,0.08282024,0.012264873,0.016269589,0.33671197,0.04386699,0.05902879,0.02318053
1220056903,0.16926537,0.013435023,0.1278342,0.011920535,0.034978494,0.345619,0.022250518,0.24928628,0.025410544
1230003032,0.24930769,0.00022358641,0.3599354,0.0013378727,0.00067974534,0.19567391,0.0007322304,0.19129181,0.00081773486
1230009732,0.0120528415,0.016127156,0.32483736,0.045621376,0.023674738,0.47442943,0.01843691,0.048853047,0.035967022
1240009142,0.10362131,0.0032664728,0.122115575,0.0074130623,0.06464089,0.16370484,0.13788462,0.3651967,0.03215653
