lake_id,arc1,arc2,arc3
1150000822,0.28858322,0.20923325,0.50218356
1150001092,0.28779066,0.20954147,0.5026679
1150002502,0.2880903,0.20945737,0.5024524
1150002592,0.285838,0.21102464,0.50313735
1150003802,0.28879467,0.20862259,0.5025828
1150004092,0.2888738,0.20864888,0.5024773
1150005262,0.2881862,0.20892102,0.50289273
1150005972,0.286998,0.20956185,0.50344014
1150007303,0.28254578,0.21103218,0.50642204
1150008142,0.2890051,0.20878682,0.5022081
1160000282,0.28425565,0.21231255,0.5034318
1170006442,0.28810143,0.21079224,0.50110626
1170013163,0.2903641,0.20869039,0.50094557
1170013972,0.28430507,0.2146263,0.50106865
1170014783,0.2903146,0.20830634,0.501379
1220005463,0.28613377,0.2154763,0.4983899
1220013612,0.2897448,0.21051176,0.49974346
1220053053,0.2854153,0.21891606,0.49566865
1220056833,0.28685862,0.2118966,0.5012448
1220056903,0.2869618,0.21166825,0.50137
1230003032,0.000358889,0.35870364,0.6409375
1230009732,0.28742075,0.2130176,0.49956158
1240009142,0.28704724,0.21142603,0.5015267
1240018052,0.0011237143,0.42981622,0.56906
1240019053,0.21528359,0.2774219,0.50729454
1250034252,0.28857043,0.2095991,0.5018305
1250051122,0.2722118,0.22277144,0.50501674
1270003322,0.2870682,0.21032983,0.50260204
1270024123,0.2860025,0.2125567,0.5014408
1270028303,0.28244764,0.21333921,0.50421315
1270040752,0.2876931,0.2098922,0.5024147
1270041163,0.28731707,0.21059176,0.5020912
1270045763,0.28768954,0.21043886,0.5018716
1270054173,0.28611165,0.21213748,0.50175095
1310000402,0.27300084,0.21962196,0.50737715
1310005562,0.27784568,0.24277236,0.47938195
1320012743,0.291909,0.20861083,0.49948007
1320015733,0.29230297,0.20859285,0.49910423
1320015883,0.2919359,0.20009492,0.5079692
1320018042,0.288544,0.21070437,0.5007516
1320022222,0.28819144,0.21047783,0.5013307
1320023692,0.28887615,0.20970362,0.5014202
1320023702,0.28716713,0.21049681,0.502336
1320026362,0.28746027,0.21162757,0.50091213
1320028172,0.28798527,0.21112603,0.5008887
1320029763,0.2879996,0.21237239,0.49962798
1320030072,0.2881341,0.21128103,0.5005849
1320031272,0.28814605,0.21085414,0.5009998
1320031292,0.28803316,0.2114302,0.5005367
1320035402,0.2886626,0.21016368,0.50117373
1320035532,0.28852487,0.20947559,0.5019995
1320036032,0.28813463,0.21091388,0.50095147
1320036142,0.2876471,0.21028207,0.50207084
