lake_id,comp1,comp2,comp3,comp4
1150000822,13.536849,13.774084,14.490926,13.217562
1150001092,13.620223,13.637407,13.411621,13.98821
1150002502,15.316353,14.044142,14.29872,14.767803
1150002592,8.021522,8.6116495,7.1621594,5.8592715
1150003802,12.455383,11.586215,12.45064,14.206026
1150004092,12.191062,12.267222,13.180426,11.334743
1150005262,9.079818,8.878417,8.896973,9.631306
1150005972,6.8311353,8.070902,8.8014,7.1876116
1150007303,2.612695,2.8486865,2.752355,3.10766
1150008142,15.346914,14.277374,15.067733,14.269026
1160000282,6.0475683,6.2827153,5.9384623,6.615717
1170006442,2.9763148,5.758283,5.6861367,4.864114
1170013163,6.9536824,8.544104,8.622229,8.401155
1170013972,3.9894528,5.0186567,5.6021657,7.0181837
1170014783,5.2622037,3.7955563,6.067769,6.1185203
1220005463,3.5355449,3.6613092,3.7104707,3.9209418
1220013612,8.378059,9.866329,8.641853,8.829808
1220053053,2.2426784,2.5934396,2.6620162,2.5125482
1220056833,3.4879913,3.9174914,3.6311796,3.6584353
1220056903,3.81174,3.5368328,3.9663856,3.3683825
1230003032,0.010386435,0.009174241,0.00762817,0.005115416
1230009732,5.2111416,4.470115,4.2464437,5.355794
1240009142,8.755619,8.086696,8.247725,5.8583555
1240018052,0.042462617,0.06290902,0.08423036,0.06955407
1240019053,0.76485056,1.1649454,0.97700876,0.69396776
1250034252,3.946736,5.870893,5.0773673,6.550389
1250051122,0.11862875,0.044551734,0.15601781,0.13629398
1270003322,12.735154,11.688693,13.697565,14.532123
1270024123,10.385099,10.571438,9.032812,8.910508
1270028303,10.231644,7.771344,9.827047,8.314914
1270040752,9.231407,7.863632,7.96677,7.198584
1270041163,9.147782,9.222427,9.304125,10.345511
1270045763,11.2167425,12.314516,12.109712,12.270832
1270054173,12.324149,11.867585,10.567978,11.123257
1310000402,12.204609,12.025955,12.318155,12.319805
1310005562,0.06712569,0.060980976,0.12214048,0.05605349
1320012743,2.7471113,2.4070568,2.2092435,1.7050223
1320015733,2.33212,2.335393,2.3976817,2.0190177
1320015883,2.2717116,2.065126,3.1312256,1.7601959
1320018042,8.693527,8.297784,8.820815,10.248879
1320022222,8.278762,8.261751,7.88809,8.331701
1320023692,7.287801,6.5781255,7.984302,7.0892687
1320023702,7.103549,7.2564936,6.852524,7.6167774
1320026362,7.055559,8.475241,6.5949793,6.546281
1320028172,8.072654,8.306025,9.179846,9.273424
1320029763,2.4065924,4.0066495,5.346103,5.701247
1320030072,4.9122815,4.6736135,4.3658004,3.5665026
1320031272,3.391986,4.661658,3.4963999,6.111441
1320031292,5.33343,2.9746733,4.9376316,4.4604826
1320035402,8.378979,8.675716,9.184153,9.842173
1320035532,11.502462,11.059212,11.6528,11.025301
1320036032,7.48133,7.027042,6.974957,7.1598186
1320036142,6.317318,6.2053447,5.7522907,5.5934935
1320037342,3.2033272,5.8731074,4.267905,4.0201144
1320038493,5.0790715,4.512451,4.377464,3.4722214
1320040872,2.4722676,1.7242483,1.571262,3.9811704
1330006212,0.035564486,0.014541603,0.10604812,0.024865016
1330007723,0.05886418,0.050822213,0.123734176,0.055780474
1330010923,8.068734,9.638801,9.535048,8.29922
1330014893,6.3112187,6.821166,6.629244,6.271119
1330015103,6.0591793,4.8056808,5.062337,6.116962
1420040083,0.98187685,0.60105836,0.7084162,0.8465111
1420043703,1.3353276,2.1670039,1.4900669,1.5225027
1420045233,1.0096081,1.1680095,2.2877793,0.7951578
1420049113,2.780083,1.966673,2.9292262,2.6159658
1430002253,0.41106385,0.3539003,0.71330285,0.32677883
1430002872,0.001992488,0.0026378788,0.0030575974,0.008407849
1430004273,0.83839625,1.4407907,1.6750828,0.29133207
1430004323,0.0025635082,0.0029379101,0.004625109,0.0067500677
1440001863,0.46174514,0.6977107,0.55029255,0.7549519
1440005913,1.056597,1.2906355,3.303643,1.5292709
1440011113,2.1285262,1.8305632,2.395036,1.4428678
1450003703,1.6608689,1.5775089,0.85476905,1.6453314
1450007622,1.0216599,0.22126454,0.6906679,0.74345934
1450009543,2.1040914,1.2037491,1.9208231,0.77177876
1450009923,0.00085169653,0.0027168414,0.0029407663,0.0014469066
1450011142,0.02119887,0.0037373698,0.013682719,0.017623883
1450012863,1.6879652,2.8190756,3.4929528,2.6205664
1450014203,0.0026742604,0.0021623948,0.0014936442,0.0023740148
1460002782,0.13283215,0.35077697,0.22480886,0.31285268
1460009393,1.9723645,0.4483192,1.9263806,1.9005716
1510001923,8.274168,8.581773,6.812976,10.236091
1510006093,0.90242,1.5066794,2.739273,1.2845169
1510006393,0.29971337,0.26045045,0.9388729,0.27272704
1530011512,0.6712696,1.152023,0.80976033,0.78059286
1620001552,2.1558237,3.5401928,4.295078,1.997236
1620004522,1.7073777,3.3137836,2.3972373,2.235914
1620008282,1.8670866,1.3908406,3.3075724,2.348371
