lake_id,comp1,comp2,comp3,comp4,comp5
1150000822,12.9771185,13.333915,11.252511,11.680772,12.744029
1150001092,12.47093,13.453515,11.4263735,11.321114,12.901649
1150002502,13.903155,12.165911,13.094903,13.8356085,12.819844
1150002592,5.551127,6.717721,7.732575,5.8790584,7.5368123
1150003802,11.567145,12.592119,11.005948,10.378901,11.561116
1150004092,11.514077,11.341047,10.771642,11.756449,9.793297
1150005262,8.165541,7.88447,8.9256,8.300431,7.8256273
1150005972,6.6987586,8.656831,5.5138936,7.181457,6.754569
1150007303,2.8258595,2.0714674,1.977099,1.9957497,3.887934
1150008142,12.671785,12.638807,12.801474,14.5599785,13.750757
1160000282,4.632779,5.444371,5.89323,5.8692355,6.1921544
1170006442,3.3612714,4.7822266,4.358726,4.7961016,4.42962
1170013163,7.392113,7.7023983,8.377475,7.0639334,6.101
1170013972,3.374054,6.478258,5.522145,4.610513,4.3679247
1170014783,4.230797,5.4628024,4.9077663,6.692687,2.6270041
1220005463,3.2590177,3.0669436,3.69065,3.6537263,3.0338953
1220013612,8.906792,7.2885423,7.4337897,7.5579486,9.058692
1220053053,2.5338037,2.132757,2.1210225,2.259376,2.2329447
1220056833,2.9056883,4.0964484,3.4490235,3.6338177,2.4679034
1220056903,3.1620188,3.328813,3.602932,2.865181,3.585731
1230003032,0.007804592,0.016612422,0.0021203945,0.003913366,0.0059957947
1230009732,2.7685676,5.556925,4.2132535,4.698859,4.477922
1240009142,6.933186,7.1564937,7.091595,6.977121,6.717906
1240018052,0.049798638,0.13430192,0.04166214,0.014588024,0.051720224
1240019053,0.5422541,0.6110546,0.7032442,0.6811506,1.5216289
1250034252,6.5129037,4.111483,4.1193357,5.443182,3.9733274
1250051122,0.066701725,0.06547339,0.1381648,0.0675219,0.17521256
1270003322,13.878996,12.637599,8.855235,12.191983,11.750554
1270024123,9.038355,10.519402,9.313492,7.6990786,7.254737
1270028303,8.7782135,8.937345,6.85921,7.1107254,9.040988
1270040752,6.0652165,6.445935,7.854974,8.8956175,7.082496
1270041163,8.458826,8.092251,7.5203815,9.913849,8.843671
1270045763,11.541056,9.705954,11.185196,10.868652,10.677931
1270054173,11.188985,10.115064,8.583788,12.089583,9.715096
1310000402,10.526733,11.386492,11.853214,10.6255245,10.658665
1310005562,0.043687608,0.05834924,0.07867606,0.058760803,0.10580512
1320012743,2.3078368,1.3299599,3.0477858,1.8200364,1.7144822
1320015733,2.102396,2.2130802,1.9553697,2.1666315,1.7982051
1320015883,2.1965165,2.0745156,2.472001,1.3362646,2.322261
1320018042,7.5508823,8.576293,7.6354804,8.135195,8.720422
1320022222,8.058433,8.102924,7.6478157,7.2931,5.8027463
1320023692,6.718302,7.3117695,6.5664406,6.1084723,5.8981366
1320023702,6.640183,6.4440894,6.5976205,6.153985,6.642311
1320026362,6.0508223,6.7576923,5.9349685,7.323009,6.238767
1320028172,7.349647,7.8041368,8.775704,7.637473,7.6707397
1320029763,2.6807315,4.8921065,4.933426,3.2960658,3.8602848
1320030072,3.9298902,3.977159,3.9140472,4.3663435,3.5524063
1320031272,3.9294755,4.581576,3.3311796,2.8323884,5.2171926
1320031292,3.4681973,4.019818,3.2286296,4.485851,4.743292
1320035402,8.664295,8.5882845,7.3726187,7.8441496,8.177193
1320035532,9.86699,10.383881,10.550915,10.4618,9.701733
1320036032,6.8391237,6.5440245,5.991491,6.419631,6.476161
1320036142,5.579254,4.947366,5.0121384,5.84804,5.507004
1320037342,3.213211,4.2894025,3.815908,3.1638322,5.0866623
1320038493,3.4635189,3.9736056,3.973749,3.0940182,5.15077
1320040872,2.715709,1.8043281,1.8464911,3.5435798,1.062126
1330006212,0.0775956,0.058847643,0.03101389,0.021122921,0.015578998
