lake_id,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8
1150000822,9.8294325,9.756737,11.921673,9.240378,8.5837,9.900446,9.848648,9.0751705
1150001092,9.938547,9.314557,11.296451,8.9923315,10.498634,9.160003,9.9471855,8.498446
1150002502,10.4707365,9.287415,9.284978,10.21988,11.198365,11.346451,10.422106,10.741671
1150002592,5.1081576,4.8746815,6.118964,5.699681,4.655955,5.88652,5.157985,4.6372614
1150003802,8.824248,9.281819,10.083696,9.663745,9.20913,9.407381,7.3468904,8.186977
1150004092,8.234018,9.519368,8.255167,7.359808,8.622824,8.505636,9.129748,9.928974
1150005262,5.970301,7.3621597,7.107698,5.3704944,6.797582,5.9813023,6.497487,6.735793
1150005972,5.9656672,6.088179,7.2851877,5.5382695,4.777364,5.928965,3.1513348,5.143487
1150007303,1.8189731,1.9241688,2.595776,2.515716,2.421163,1.7410657,1.3244296,1.7448733
1150008142,9.720284,10.671493,10.112195,10.471667,11.565263,10.22835,10.478657,10.5044985
1160000282,4.8654,3.9943345,4.44967,4.339162,4.2429533,4.7975993,4.313001,4.3385277
1170006442,1.9911324,2.6392407,2.6880085,4.233821,4.0000577,4.4399195,3.2507567,4.1505065
1170013163,5.310412,5.684887,5.3855925,4.445293,6.8314066,5.830936,6.883792,5.8254647
1170013972,5.068738,4.1003213,4.472103,3.6136775,2.6968355,3.2793338,3.50756,3.96829
1170014783,3.2981348,4.900326,2.893728,3.0952315,3.4782388,4.3194437,4.3151875,3.86659
1220005463,3.029172,2.7283297,2.4291945,2.0327644,2.7756085,2.329154,2.5297487,3.199868
1220013612,5.742814,6.6621103,7.23343,4.9980764,5.5019693,7.64077,6.805928,6.1432877
1220053053,1.8326963,1.8273834,1.7724797,1.9845213,1.3840121,1.7539698,2.1669927,1.5031306
1220056833,2.911765,1.9790046,2.6103954,2.7017555,3.2055984,2.1290588,2.7466211,2.5939646
1220056903,2.6327343,2.8500896,2.512086,2.8654761,2.5085554,2.646296,2.048843,2.792389
1230003032,0.0080681,0.0029865853,0.0068519665,0.005485042,0.008511847,0.0038109883,0.0037618042,0.006422961
1230009732,3.2038748,3.8568954,2.3591387,3.5135381,1.5942211,4.7868805,2.7079978,5.330127
1240009142,4.778765,5.3446164,3.8680377,5.053909,5.7778983,5.1901884,7.8865104,6.0782967
1240018052,0.03493796,0.07506701,0.10673004,0.061057847,0.017649893,0.013758784,0.023234643,0.036358114
1240019053,0.8201139,0.58840084,0.84430164,0.66701114,0.5927416,0.35187435,0.72484744,0.5305739
1250034252,3.5114646,2.8516455,3.3353343,3.0294673,4.597313,4.328332,3.3967047,5.383906
1250051122,0.14321771,0.053481895,0.053648174,0.05243764,0.06343381,0.16580372,0.04376282,0.07006177
1270003322,9.713737,9.530228,9.195906,8.6772785,9.351036,9.16955,10.064374,9.077395
1270024123,7.762859,6.550922,6.093001,7.100538,5.58018,7.742371,7.5112534,6.910056
1270028303,6.5733967,5.8503284,8.700411,5.3431897,6.1142087,5.786707,8.475586,4.5271034
