lake_id,comp1,comp2,comp3
1150000822,9.22186318658665e-73,1.0,5.346999499242175e-25
1150001092,2.2114194062780772e-59,0.9999999999990461,9.540812996982597e-13
1150002502,9.605254793621265e-48,0.9856994059179741,0.014300594082025792
1150002592,8.310900736869994e-47,1.4516495916050137e-25,1.0
1150003802,4.012393062950855e-64,0.9999999999999996,5.126720156577246e-16
1150004092,2.2061061141061553e-70,1.0,1.0082431740334815e-21
1150005262,3.115842950083571e-48,0.5000000100466176,0.4999999899533841
1150005972,5.1910007180410435e-59,0.9999999988431441,1.1568555270396418e-09
1150007303,5.6346411930799935e-58,0.9999998298095673,1.701904333032377e-07
1150008142,4.737418603420222e-68,1.0,3.7304593523133e-21
1160000282,1.289732000310792e-47,2.124461867744273e-17,1.0000000298023224
1170006442,1.768026794587443e-68,1.0,1.4995476378294823e-17
1170013163,1.0,0.0,2.0572455200738714e-84
1170013972,2.9473088440909544e-31,3.5647077755087656e-135,1.0
1170014783,6.780395630125284e-41,7.490497392615755e-123,1.0
1220005463,8.66024233070645e-43,2.88191965813318e-172,1.0
1220013612,2.904625729307985e-45,3.223927532126796e-46,1.0
1220053053,3.41170154062203e-36,9.403770268904557e-109,1.0
1220056833,8.193477195088413e-71,1.0,1.1494517198652486e-19
1220056903,1.3000192685928467e-71,1.0,2.39431011616488e-20
1230003032,5.301443256647676e-66,0.9999999999999925,7.828212081247653e-15
1230009732,1.271093356240451e-32,9.496595182774103e-199,1.0
1240009142,5.06685357051259e-30,2.9729837393088404e-195,1.0
1240018052,4.057307830592888e-48,8.987476175517585e-24,1.0
1240019053,2.1414583517405467e-22,0.0,1.0
1250034252,3.0685085275312734e-69,1.0,1.5254752561791246e-18
1250051122,4.0299820836169773e-75,1.0,1.874012603181374e-23
1270003322,2.762606215242771e-47,4.677239336463622e-10,0.9999999995322781
1270024123,5.37963038443971e-22,3.2163033990353e-311,1.0
1270028303,1.0,0.0,1.5114560283404368e-26
1270040752,3.390335008134584e-62,0.9999999999978204,2.179271040371461e-12
1270041163,6.785322849395471e-46,5.638876887152893e-24,1.0
1270045763,1.3355623905788738e-27,1.8396421906391168e-203,1.0
