lake_id,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9
1150000822,9.267962,10.485529,10.470972,9.628438,8.730986,9.653344,9.632765,7.6671624,7.686941
1150001092,8.916526,9.921306,8.600634,9.1561575,9.8412695,8.8518505,8.871331,8.943763,9.587164
1150002502,10.245428,10.33355,10.033102,9.212512,9.697465,9.870834,10.102869,9.949229,8.93715
1150002592,3.6727545,4.859556,3.783316,5.775691,4.919751,6.0524826,5.59292,4.7841744,5.432952
1150003802,8.597273,9.2387,8.78154,8.073887,8.568335,8.751636,8.010979,8.627346,8.034747
1150004092,8.422326,7.8623085,9.687751,8.199783,6.795342,8.601003,9.203056,7.7995057,7.5212874
1150005262,5.856562,6.7186537,6.4068403,5.343997,6.3688602,5.6380777,6.088107,5.6513276,7.135908
1150005972,5.9726853,6.650961,3.419854,5.106083,4.9169626,5.4489093,5.322475,4.6881332,5.2168036
1150007303,3.4003787,0.9918629,1.8097024,1.707869,1.2720646,1.9662734,2.4427304,2.112431,1.4182805
1150008142,8.764973,9.592462,11.711899,9.198047,10.115303,10.517667,9.311427,10.410274,9.575274
1160000282,3.7655334,3.768273,4.305417,4.457549,4.6737623,3.9352696,4.376503,3.7817078,4.5833306
1170006442,3.6819923,3.6657379,1.9804738,4.192128,3.5549116,4.248426,3.157306,1.7965618,2.8859746
1170013163,6.8454423,6.0367174,4.974643,4.944961,4.6314783,6.524099,4.106604,6.2035613,4.9299865
1170013972,4.8720217,1.8938884,2.5337691,4.9635987,3.1069012,5.324601,3.8957348,3.157711,2.937067
1170014783,3.8097398,3.1009738,2.850632,3.827439,2.084678,3.8865318,3.4232476,4.524584,4.636968
1220005463,2.9788494,2.449848,2.5124118,1.7827431,2.9118538,2.9377966,2.239616,2.1652753,2.4492183
1220013612,5.9973183,6.0028715,5.6583347,5.3997507,6.5402136,6.5145316,7.56434,4.670026,5.6798735
1220053053,1.2244883,1.8862085,2.166994,1.2905104,1.6389737,1.6719289,1.6638281,1.6827179,1.9252583
1220056833,2.6742692,2.4411604,2.359561,2.5388641,2.9866273,2.7469387,3.0729184,1.0360187,2.3665228
1220056903,1.7220556,2.5216856,2.2556605,2.7176268,2.795428,3.1704574,2.5989223,2.1359138,2.2924495
1230003032,0.008760873,0.0055917315,0.0054815356,0.004505207,0.0072733145,0.00619902,0.0019700278,0.0038943638,0.0052058557
1230009732,4.05733,3.980805,3.1947803,1.9367051,3.1596675,2.924154,3.2187152,2.978813,3.7260659
1240009142,5.4094214,5.3066726,5.398135,4.19779,5.384956,4.925667,5.797297,4.8189654,5.602961
1240018052,0.011221094,0.02438023,0.021524895,0.007419829,0.09454218,0.04179469,0.008620281,0.15179455,0.031612042
1240019053,0.7996806,0.25567135,0.38562423,0.49534798,2.271297,0.4656718,0.32348812,0.26396093,0.18081215
1250034252,3.7256718,2.6899378,4.842611,4.1803994,3.0853407,2.8384435,4.5420885,4.12142,2.4133224
1250051122,0.044841032,0.11393644,0.06935688,0.061448425,0.10105973,0.10697349,0.034612056,0.055436067,0.101201475
1270003322,9.308053,9.343293,8.206018,8.552771,7.776656,9.470557,8.9520035,10.204887,7.8305116
1270024123,6.1729336,8.149809,5.722775,6.609462,7.712859,5.2298183,6.88489,5.191668,7.193562
1270028303,7.0885034,5.2080965,5.8174977,4.8652573,7.5335336,5.8739185,5.4130564,7.609032,5.2766438
1270040752,5.6419606,5.699581,4.113785,5.2810555,4.779884,6.835916,6.2327695,4.228074,5.988897
1270041163,7.3803377,6.8296285,3.2948577,6.5926867,6.8392463,6.186223,7.349469,7.416818,5.625003
1270045763,8.099695,8.038232,7.2060537,8.143636,9.223807,8.065009,7.881606,7.7047606,8.117201
1270054173,7.9024696,7.7592793,7.8210907,7.364306,7.870561,7.7726116,8.265712,7.698798,6.9567857
1310000402,9.032618,8.267146,7.613853,8.196744,9.337276,8.050239,7.644392,8.195067,7.586303
1310005562,0.06610815,0.02023956,0.022242095,0.021841401,0.070838585,0.092023484,0.10390613,0.034649048,0.031192165
1320012743,1.199226,1.0058414,1.2431887,2.0630882,2.093334,1.1880164,0.99521405,2.5707438,1.368717
1320015733,1.7631623,1.0822083,1.2576206,1.5334904,1.743459,0.88981855,1.8652817,1.3474749,2.27068
1320015883,0.86923563,2.3179164,2.0692458,0.76851916,1.9788463,1.3931932,1.3287003,1.3155562,1.9323143
1320018042,6.794822,7.078513,7.490336,5.2430596,3.9585872,5.95474,6.6543007,7.1906705,4.18535
1320022222,6.2465253,6.368675,5.747301,6.3430986,3.188858,4.717284,5.139483,6.282763,5.5438447
1320023692,4.7276387,4.028725,4.2451205,5.7093945,6.0104213,4.2578874,4.475032,4.527406,5.8061194
1320023702,4.7843847,4.684346,4.2404504,4.6353908,4.838643,4.6425505,5.17572,4.3263674,6.295378
1320026362,3.3502731,4.9282837,2.9292436,7.366123,4.9879208,5.13662,5.7959375,3.8465562,5.037375
1320028172,7.0050554,5.892359,6.590274,6.636299,5.5787406,5.3532033,4.600171,5.277264,5.7589636
1320029763,4.523422,2.5778432,3.4232543,2.6442306,2.9163966,2.9763463,3.4134352,2.057751,1.8641932
1320030072,3.0684342,3.3195763,1.7676528,3.000189,3.4415712,2.4243321,3.1323638,3.5870657,2.7747018
1320031272,4.0814624,2.6954198,3.9652123,2.6931992,2.8238227,3.3934865,2.3102188,1.2621363,3.4744444
1320031292,2.4965959,3.2480168,3.4708915,3.2602973,2.5109396,2.0268416,2.5464616,3.7081625,3.5340347
1320035402,6.33038,5.442667,6.755466,5.792205,6.491745,6.210357,5.5713177,7.0710053,4.911401
1320035532,8.006577,7.5474863,7.4178658,7.76608,7.320789,7.541496,7.4619017,8.237511,7.145112
1320036032,4.759254,4.406973,4.740551,4.5306244,4.9310894,4.877927,4.3851633,5.3761086,5.332246
1320036142,3.759626,4.248109,4.3757153,4.1190267,3.2671273,4.323285,4.6484437,4.0505896,3.3192046
1320037342,3.446947,4.0253406,3.0680351,2.7449288,3.3174582,3.16931,2.5869753,1.7544225,2.1541362
1320038493,2.384796,2.2195823,3.30612,3.3241382,2.0322056,3.0353236,3.6942585,3.0462024,3.355187
