lake_id,arc1,arc2
1150000822,0.49814746,0.5018525
1150001092,0.49802083,0.5019792
1150002502,0.49828082,0.5017192
1150002592,0.49791285,0.50208724
1150003802,0.4981971,0.50180286
1150004092,0.49830204,0.5016979
1150005262,0.49727923,0.50272083
1150005972,0.4971677,0.5028323
1150007303,0.49669206,0.50330794
1150007432,0.9999722,2.7760438e-05
1150008142,0.49813476,0.50186527
1160000282,0.4976183,0.50238174
1170006442,0.49855942,0.5014405
1170013163,0.49706432,0.50293577
1170013972,0.4985328,0.50146717
1170014783,0.49908245,0.50091755
1220005463,0.49981242,0.50018764
1220013612,0.49907464,0.5009254
1220053053,0.5030147,0.49698526
1220056833,0.49813905,0.5018609
1220056903,0.49830058,0.50169945
1230003032,0.4749594,0.5250406
1230009732,0.49953386,0.50046617
1240009142,0.49813053,0.5018695
1240018052,0.45418727,0.5458127
1240019053,0.4973741,0.50262594
1250034252,0.49753237,0.5024676
1250051122,0.49925205,0.500748
1250064892,0.5158335,0.48416653
1270003322,0.49796802,0.5020319
1270024123,0.49827617,0.5017238
1270028303,0.4983372,0.50166273
1270040752,0.49756432,0.50243574
1270041163,0.49872687,0.5012731
1270045763,0.4969442,0.5030558
1270054173,0.49804285,0.5019571
1310000402,0.5001762,0.4998238
1310005562,0.5166785,0.48332158
1320012743,0.49496415,0.5050358
1320015733,0.49521065,0.50478935
1320015883,0.49565712,0.50434285
1320018042,0.49873093,0.5012691
1320022222,0.49847582,0.5015242
1320023692,0.49818593,0.50181407
1320023702,0.4978962,0.5021038
1320026362,0.49818718,0.5018128
1320028172,0.49883893,0.50116104
1320029763,0.49861062,0.5013894
1320030072,0.49811876,0.50188124
1320031272,0.49782217,0.50217783
1320031292,0.49690443,0.50309557
1320035402,0.49799356,0.5020064
1320035532,0.49746805,0.50253195
1320036032,0.49880964,0.5011903
1320036142,0.49767083,0.50232923
1320037342,0.49897876,0.5010212
1320038493,0.49811697,0.50188303
1320040872,0.4983397,0.5016602
1330003052,0.0002170685,0.999783
1330003162,0.24246106,0.7575389
1330006212,0.0031750195,0.996825
1330007723,0.0049967957,0.9950032
1330008533,0.00036674837,0.9996332
1330008622,0.0005482746,0.9994517
1330010923,0.49643132,0.50356865
1330014893,0.492813,0.50718695
1330015103,0.49337533,0.5066247
1420040083,0.4910597,0.50894034
1420043703,0.49054015,0.5094598
1420045233,0.4934003,0.5065996
1420049113,0.49622512,0.5037749
1430002253,0.48692617,0.5130738
1430002872,0.6079297,0.3920703
1430004273,0.47468457,0.5253154
1430004323,0.522516,0.477484
1430005083,0.5035318,0.49646822
1440001863,0.47335097,0.52664906
1440005913,0.49291572,0.50708425
1440011113,0.49563357,0.50436646
1450003703,0.49120814,0.5087919
1450007622,0.49327233,0.5067277
1450009233,0.5548671,0.44513297
1450009543,0.47214395,0.52785605
1450009923,0.539368,0.46063206
1450011142,0.63531023,0.3646898
1450012863,0.47911018,0.52088976
1450014203,0.41448033,0.5855197
1460002782,0.48554564,0.5144544
1460009393,0.47185516,0.52814484
1510001923,0.4983869,0.50161314
1510006093,0.50742507,0.49257493
1510006393,0.5052923,0.49470764
1530003042,0.00022097708,0.99977905
1530004152,0.9999863,1.3650545e-05
1530011512,0.5144496,0.48555046
1530012122,0.9999858,1.4221428e-05
1540002042,0.9999751,2.4939436e-05
1620001552,0.49628368,0.50371635
1620004522,0.4968149,0.5031851
1620008282,0.49714848,0.5028515
1620023612,0.49555713,0.50444293
1620031802,0.4960861,0.50391394
1620032342,0.49581233,0.50418776
1620034183,0.4964602,0.5035398
1620063302,0.49543884,0.5045612
1720000552,0.49750248,0.5024975
1720001282,0.4984905,0.5015094
1720001342,0.4980393,0.50196064
1720003902,0.4977958,0.50220424
1720003932,0.49818167,0.5018184
1720004142,0.49806353,0.5019365
1720004172,0.49843627,0.5015637
1720004433,0.48798934,0.5120107
1720004453,0.49762297,0.5023771
1720007172,0.49802595,0.501974
1720008692,0.49797344,0.50202656
1720009413,0.49819118,0.50180876
1720010272,0.49729744,0.50270253
1720010283,0.49545962,0.5045404
1720033122,0.49747705,0.502523
1720041492,0.49711972,0.5028803
