lake_id,arc1,arc2,arc3
1150000822,0.8815681,0.06160194,0.0568299
1150001092,0.54874307,0.27692,0.17433693
1150002502,0.30948195,0.40604228,0.28447568
1150002592,0.058997415,0.7663842,0.17461845
1150003802,0.7343386,0.18445732,0.0812041
1150004092,0.5184012,0.33564463,0.14595413
1150005262,0.15081215,0.6599344,0.18925342
1150005972,0.16427605,0.6896315,0.1460925
1150007303,0.01570179,0.9205764,0.06372175
1150007432,0.005054011,0.99377835,0.001167611
1150008142,0.8791468,0.034053035,0.08680008
1160000282,0.13678128,0.7488427,0.11437606
1170006442,0.2606008,0.7069698,0.032429446
1170013163,0.082192846,0.7316683,0.18613891
1170013972,0.0517421,0.8263883,0.12186964
1170014783,0.056280926,0.8260755,0.117643565
1220005463,0.057958852,0.86907923,0.07296192
1220013612,0.06945957,0.7179327,0.21260773
1220053053,0.088693306,0.88242257,0.02888412
1220056833,0.09849796,0.8436295,0.057872504
1220056903,0.05757372,0.87031,0.072116226
1230003032,0.0030216004,0.9939346,0.0030438588
1230009732,0.26902816,0.7015392,0.029432675
1240009142,0.2495588,0.6339761,0.11646511
1240018052,0.005208835,0.9911176,0.003673686
1240019053,0.012424903,0.976542,0.011033151
1250034252,0.033009484,0.83975184,0.1272386
1250051122,0.008405245,0.9843404,0.007254396
1250064892,0.004065016,0.99143386,0.0045011505
1270003322,0.8616381,0.090463966,0.047897846
1270024123,0.1306237,0.65638435,0.21299197
1270028303,0.23135461,0.6100118,0.15863359
1270040752,0.3997743,0.5276695,0.07255626
1270041163,0.17964001,0.63068205,0.18967792
1270045763,0.5660635,0.312239,0.12169745
1270054173,0.37121236,0.45234317,0.17644453
1310000402,0.6634877,0.24251692,0.093995355
1310005562,0.007943265,0.9894834,0.0025733712
1320012743,0.010161349,0.93966496,0.050173707
1320015733,0.051066026,0.9133995,0.035534427
1320015883,0.10433781,0.8774216,0.018240487
1320018042,0.270602,0.5852054,0.14419259
1320022222,0.38842514,0.53162116,0.079953656
1320023692,0.12396368,0.729222,0.14681429
1320023702,0.17377828,0.6977583,0.12846333
1320026362,0.26994377,0.63643456,0.09362169
1320028172,0.5116467,0.43742737,0.050925985
1320029763,0.039610434,0.8628941,0.09749544
1320030072,0.18593648,0.76774865,0.046314843
1320031272,0.099786125,0.82281137,0.077402495
1320031292,0.1864282,0.76596147,0.04761036
1320035402,0.46612865,0.45831293,0.07555841
1320035532,0.51574314,0.36318856,0.12106823
1320036032,0.20071556,0.68153656,0.11774792
1320036142,0.1461915,0.7497062,0.104102276
1320037342,0.062345445,0.84873533,0.08891926
1320038493,0.24292101,0.7315509,0.025528124
1320040872,0.11718514,0.86579055,0.017024333
1330003052,0.006873074,0.9856112,0.007515796
1330003162,0.010481481,0.9847038,0.004814686
1330006212,0.007856449,0.9878868,0.0042567607
1330007723,0.00790569,0.9895549,0.0025394403
1330008533,0.0037674643,0.98952484,0.006707602
1330008622,0.0057976795,0.9911083,0.0030939274
1330010923,0.089047275,0.7063391,0.20461357
1330014893,0.24242397,0.67256624,0.08500974
1330015103,0.119734734,0.77943933,0.100825906
1420040083,0.009718885,0.97549117,0.014789971
1420043703,0.050100148,0.93133676,0.018563045
1420045233,0.013539793,0.95749635,0.028963843
1420049113,0.06403558,0.8965874,0.039377023
1430002253,0.003963281,0.9911009,0.004935785
1430002872,0.0053951577,0.99109954,0.0035053017
1430004273,0.04849886,0.94988906,0.0016121077
1430004323,0.008680308,0.9836898,0.0076299347
1430005083,0.0042336998,0.99206084,0.003705386
1440001863,0.010956295,0.98388296,0.005160811
1440005913,0.049005613,0.92758137,0.023412993
1440011113,0.031685617,0.9344631,0.0338512
1450003703,0.06638343,0.9280902,0.0055263154
1450007622,0.012059569,0.98323673,0.004703719
