lake_id,arc1,arc2,arc3,arc4,arc5,arc6
1150001092,1.0,0.0,0.0,0.0,0.0,0.0
1150002502,1.6436368e-35,3.9e-44,0.0,0.0,1.0,0.0
1150003802,3.2662785e-22,1.0,1.533681e-20,0.0,1.3365195e-24,5.8015335e-36
1150004092,1.0,4.5493442e-32,0.0,0.0,0.0,0.0
1150005262,1.0,5.0684286e-24,6.42239e-40,0.0,1.553e-42,0.0
1150005972,1.0,0.0,0.0,0.0,0.0,0.0
1150007303,5.270292e-39,1.0,1.3399745e-33,0.0,1.77e-43,0.0
1150008332,0.0,0.0,0.0,1.0,0.0,0.0
1160000282,1.0,5.0898e-41,2.1e-43,0.0,0.0,0.0
1170006442,0.0,0.0,0.0,0.0,1.0,0.0
1170013972,1.0,0.0,0.0,0.0,0.0,0.0
1220005463,1.0,1.1724699e-14,4.3634137e-14,3.2668853e-26,4.5759045e-15,1.8954752e-16
1220053053,1.0,1.9304235e-22,1.0582113e-17,0.0,3.464176e-23,7.9028875e-37
1220056903,0.6666667,2.0835632e-14,5.3447006e-14,2.8255e-17,0.33333334,1.6472904e-15
1240009142,1.0,0.0,0.0,0.0,0.0,0.0
1240018052,1.0,0.0,0.0,0.0,0.0,0.0
1250010552,2.864764e-31,0.0,1.0,0.0,2.627517e-27,0.0
1250034252,1.0,0.0,0.0,0.0,0.0,0.0
1250051122,1.0,0.0,0.0,0.0,0.0,0.0
1250064892,0.5,0.0,0.0,0.0,0.5,0.0
1270041163,1.0,6.0230224e-38,1.56047e-40,0.0,0.0,0.0
1270045763,0.0,0.0,0.0,0.0,1.0,0.0
1270054173,1.0,0.0,0.0,0.0,0.0,0.0
1320023702,1.0,0.0,0.0,0.0,0.0,0.0
1320031272,1.0,0.0,0.0,0.0,9.991774e-29,0.0
1320031292,1.0,5.6804734e-21,2.898154e-33,0.0,2.182792e-31,0.0
1320035532,1.0,8.122069e-31,1.7287834e-35,0.0,4.1085125e-34,0.0
1320036032,1.0,0.0,0.0,0.0,4.63345e-40,0.0
1320036142,0.0,0.0,0.0,0.0,1.0,0.0
1320037342,3.6574145e-38,1.0,3.1196522e-31,0.0,0.0,0.0
1320040872,0.0,1.0,0.0,0.0,0.0,0.0
1330003052,1.0,0.0,0.0,0.0,0.0,0.0
1330006212,0.0,0.0,0.0,0.0,1.0,0.0
1330007723,1.0,0.0,0.0,0.0,0.0,0.0
1330008622,0.0,0.0,0.0,0.0,1.0,0.0
1330010923,1.0,0.0,0.0,0.0,0.0,0.0
1330015103,1.0,3.1522264e-28,8.107626e-25,0.0,6.699653e-31,1.693298e-39
1420040083,1.0,5.46239e-40,3.7156663e-36,0.0,0.0,0.0
1420043703,6.6105025e-24,1.0,2.0749366e-23,0.0,0.0,9.0689167e-38
1420049113,1.0,3.2200733e-28,0.0,0.0,0.0,0.0
1430002253,2.07e-43,1.0,4.0389392e-35,0.0,5.9587196e-36,0.0
1430002872,0.0,0.0,0.0,1.0,0.0,0.0
1430004273,1.4105488e-30,0.0,1.0,0.0,4.41e-43,0.0
1430005083,0.0,0.0,0.0,1.0,0.0,0.0
1440001863,0.33333334,3.1949867e-33,3.352409e-17,0.0,0.6666667,0.0
1450003703,0.0,0.0,1.0,0.0,0.0,0.0
1450009233,0.0,0.0,1.0,0.0,0.0,0.0
1450009543,0.5,2.777935e-23,0.5,0.0,6.577481e-27,1.4459655e-29
