lake_id,arc1,arc2,arc3,arc4,arc5
1150001092,1.0,0.0,0.0,0.0,0.0
1150002502,1.0,0.0,0.0,3.261926e-26,0.0
1150003802,1.0,4.2599164e-37,3.413119e-38,5.6981526e-09,0.0
1150004092,1.5993522e-19,2.1298935e-32,0.0,1.0,4.8101745e-35
1150005262,0.0,0.0,0.0,1.0,0.0
1150005972,5.0155584e-23,9.10596e-26,3.1301694e-29,1.0,0.0
1150007303,0.0,0.0,0.0,1.0,0.0
1150008332,0.0,0.0,0.0,0.0,1.0
1160000282,0.0,0.0,0.0,1.0,0.0
1170006442,3.071809e-19,0.0,1.0233208e-36,1.0,0.0
1170013972,0.0,0.0,0.0,1.0,0.0
1220005463,0.25,4.225399e-37,2.7841652e-33,0.75,3.1272109e-30
1220053053,1.0683706e-20,4.7977276e-27,3.2319068e-19,1.0,6.59e-43
1220056903,0.33333334,0.0,0.0,0.6666667,0.0
1240009142,1.0,0.0,0.0,2.4091916e-38,0.0
1240018052,0.0,0.0,1.0,1.5994904e-29,0.0
1250010552,0.0,0.0,0.0,1.0,0.0
1250034252,0.0,0.0,0.0,1.0,0.0
1250051122,1.9567381e-17,8.356282e-28,2.566763e-31,1.0,0.0
1250064892,0.0,0.0,0.5,0.5,0.0
1270041163,1.0,0.0,1.130392e-39,3.0216995e-23,0.0
1270045763,3.57764e-39,0.0,0.0,1.0,0.0
1270054173,3.4731723e-21,0.0,0.0,1.0,0.0
1320023702,0.0,0.0,0.0,1.0,0.0
1320031272,1.0,0.0,0.0,0.0,0.0
1320031292,1.0,0.0,0.0,4.326186e-17,0.0
1320035532,1.0,0.0,0.0,0.0,0.0
1320036032,1.7543592e-19,4.482826e-24,2.9445227e-23,1.0,4.0089557e-27
1320036142,2.5273484e-18,0.0,6.531814e-30,1.0,8.67464e-28
1320037342,4.11186e-40,0.0,0.0,1.0,0.0
1320040872,1.9633268e-38,0.0,0.0,1.0,0.0
1330003052,1.0,0.0,0.0,0.0,0.0
1330006212,1.0,0.0,0.0,0.0,0.0
1330007723,0.0,0.0,0.0,1.0,0.0
1330008622,1.0,0.0,0.0,0.0,0.0
1330010923,1.0,1.3812753e-27,0.0,2.321077e-19,9.034346e-32
1330015103,0.5,0.0,1.1990436e-16,0.5,1.8109454e-20
1420040083,1.0,0.0,0.0,0.0,0.0
1420043703,1.0,8.2664253e-29,6.5e-43,1.1151597e-22,0.0
1420049113,1.0,0.0,0.0,0.0,0.0
1430002253,0.0,1.0,0.0,0.0,0.0
1430002872,0.0,1.0,0.0,0.0,0.0
1430004273,0.0,1.0,0.0,0.0,0.0
1430005083,0.0,0.5,0.5,0.0,0.0
1440001863,0.0,0.33333334,6.6832385e-37,0.6666667,0.0
1450003703,4.6e-44,2.3510701e-36,3e-45,1.0,0.0
1450009233,0.0,1.0,0.0,0.0,0.0
1450009543,1.1993601e-22,1.0,3.04e-42,1.3658307e-29,0.0
1450009923,0.0,0.0,0.0,1.0,0.0
1450014203,0.0,0.6666667,0.0,0.33333334,0.0
1530004152,0.0,0.0,0.0,1.0,0.0
1530011512,1.0,0.0,0.0,0.0,0.0
1530012122,0.0,1.0,0.0,0.0,0.0
1540002042,0.0,0.0,1.8887983e-37,0.0,1.0
1620004522,1.0,0.0,0.0,0.0,0.0
1620008282,4.0346736e-20,2.6750983e-37,0.0,1.0,0.0
1620023612,0.0,0.0,0.0,1.0,0.0
1620031802,1.0,0.0,0.0,0.0,0.0
1620032342,3.4284343e-33,0.0,0.0,1.0,0.0
1620034183,0.0,5.354651e-33,1.6678e-41,1.0,0.0
1720001282,1.0,2.754236e-33,0.0,2.8090248e-14,2.41552e-40
1720003902,1.6040438e-20,6.831296e-34,8.0084905e-21,1.0,0.0
1720003932,3e-45,0.0,0.0,1.0,0.0
1720004433,0.2,0.0,0.0,0.8,0.0
1720004453,0.5,7.7826234e-23,1.2793173e-27,0.5,1.2446177e-23
1720010272,1.0,3.5171e-41,1.431459e-26,9.276854e-25,0.0
1720010283,0.0,0.0,0.0,1.0,0.0
1720033122,5.70565e-19,0.0,3e-45,1.0,0.0
1720042152,0.0,0.0,0.0,1.0,0.0
1720046943,2.65675e-39,1.7e-44,0.0,1.0,0.0
1720052653,1.0,0.0,0.0,0.0,0.0
1720056903,0.25,9.442e-42,8.15724e-35,0.75,3.7e-43
1810030972,1.0,0.0,0.0,5.7e-44,0.0
1810042913,0.0,0.0,9.41e-42,1.0,0.0
2110011792,0.0,1.0,0.0,0.0,0.0
2110020813,1.0,0.0,0.0,0.0,0.0
2110024562,1.0,0.0,0.0,7.83e-43,0.0
2110026463,1.0,0.0,0.0,0.0,0.0
2130000053,0.0,0.0,0.0,1.0,0.0
2130002132,1.3618776e-38,0.0,0.0,1.0,0.0
2130004742,0.0,0.0,0.0,1.0,0.0
2130024252,0.0,0.0,0.0,1.0,4.2422757e-28
2130026062,2.464888e-28,1.0076666e-37,6.3799785e-30,1.0,0.0
2140010713,3.4394345e-35,0.0,0.0,1.0,0.0
2140014592,1.0,0.0,0.0,0.0,0.0
2140016022,1.0,0.0,3e-45,1.0525539e-31,0.0
2150000032,0.0,0.0,0.0,0.0,1.0
2150005082,1.0,1.9177601e-29,2.0166e-41,9.9512655e-21,0.0
2160009382,1.0,0.0,0.0,8.965009e-22,0.0
2160009923,0.0,1.0,0.0,0.0,0.0
2160026602,0.0,0.0,0.0,0.0,1.0
2160046863,0.0,0.0,0.0,1.0,0.0
2220020922,0.0,0.0,0.0,1.0,0.0
2230005753,0.0,0.0,0.0,1.0,0.0
2230021903,0.0,0.0,0.0,1.0,0.0
2230037623,1.0,0.0,0.0,0.0,0.0
2230044463,1.0,0.0,3.1352067e-28,1.8753328e-29,8.35907e-20
2230062373,6.068152e-39,2.826802e-39,1.0022229e-37,1.0,0.0
2230073093,1.6968744e-33,0.0,0.0,1.0,0.0
2240003112,0.0,0.0,0.0,1.0,0.0
2250031083,4.1590274e-23,1.0317841e-35,3.0980453e-38,1.0,0.0
2250031093,1.4536807e-32,1e-45,1.7375105e-35,1.0,0.0
2250085593,0.0,0.0,4.54832e-40,1.0,2.0829e-41
2250088883,0.0,0.0,0.0,1.0,0.0
2250088893,3.0565383e-27,1.6467938e-32,7.518106e-36,1.0,5.9e-44
2260001413,0.5,0.0,0.0,0.5,0.0
2260031502,1.0,0.0,0.0,0.0,0.0
2260033822,0.0,0.0,0.0,1.0,0.0
2270044473,3.129835e-14,1.9337162e-36,0.0,1.0,0.0
2270102272,1.1124277e-22,1.74e-43,0.0,1.0,0.0
2270141422,1.0,0.0,0.0,0.0,2.0817887e-36
2280007082,0.0,0.0,0.0,1.0,0.0
2310000123,1.0,0.0,0.0,0.0,0.0
2310000133,1.0,0.0,0.0,0.0,9.970954e-35
2310015232,1.0,6.3095694e-38,3.566e-42,2.7531582e-30,4.4552882e-36
2310028243,1.0,0.0,0.0,0.0,0.0
2310028773,0.0,0.0,0.0,0.0,1.0
2320145123,0.0,0.0,0.0,1.0,0.0
2320145143,1.0,0.0,0.0,0.0,0.0
2320145163,0.0,0.0,0.0,1.0,0.0
2320145183,1.0,2.6584333e-28,1.1133827e-27,3.9592574e-20,0.0
2320146452,1.22e-43,0.0,0.0,1.0,0.0
2320253402,9.1962824e-38,0.0,0.0,1.0,0.0
2330041242,8.3474013e-26,3e-45,1.0620576e-36,1.0,7.528276e-21
2330042812,4.0054528e-16,0.0,0.0,1.0,0.0
2340000023,0.5,0.0,0.0,0.5,0.0
2340009563,1.0,0.0,0.0,0.0,0.0
2340009603,1.0,0.0,0.0,1.1254446e-22,0.0
2340009652,1.0,0.0,0.0,0.0,0.0
2410000012,0.0,1.0,0.0,0.0,0.0
