lake_id,arc1,arc2
1150000822,0.6178706,0.3821294
1150001092,0.62044895,0.37955105
1150002502,0.59354,0.40646002
1150002592,0.79927236,0.20072761
1150003802,0.648798,0.35120204
1150004092,0.66098857,0.33901143
1150005262,0.75039715,0.24960285
1150005972,0.79010975,0.20989022
1150007303,0.9305775,0.06942246
1150008142,0.5896298,0.41037023
1160000282,0.8334327,0.16656741
1170006442,0.8735708,0.12642922
1170013163,0.7788853,0.2211147
1170013972,0.8568483,0.14315175
1170014783,0.85961956,0.14038038
1220005463,0.9054742,0.094525814
1220013612,0.75598055,0.24401942
1220053053,0.9399678,0.060032185
1220056833,0.9064253,0.09357475
1220056903,0.90649474,0.093505256
1230003032,0.9937065,0.0062934877
1230009732,0.8736382,0.12636173
1240009142,0.79004973,0.2099503
1240018052,0.9986356,0.0013643963
1240019053,0.9871399,0.012860176
1250034252,0.85810965,0.1418903
1250051122,0.98809797,0.0119020725
1250064892,0.9964114,0.0035886203
1270003322,0.63485295,0.365147
1270024123,0.73316085,0.26683915
1270028303,0.75268364,0.24731636
1270040752,0.7806675,0.21933252
1270041163,0.73948544,0.26051462
1270045763,0.66862094,0.33137906
1270054173,0.68322873,0.31677127
1310000402,0.66178334,0.33821666
1310005562,0.9963121,0.0036879196
1320012743,0.946671,0.05332894
1320015733,0.9465506,0.053449392
1320015883,0.9450383,0.054961707
1320018042,0.7536148,0.24638525
1320022222,0.7771291,0.22287087
1320023692,0.8044484,0.19555159
1320023702,0.80520535,0.19479467
1320026362,0.8062989,0.19370112
1320028172,0.7621129,0.2378871
1320029763,0.88667876,0.11332121
1320030072,0.88620853,0.11379148
1320031272,0.88524276,0.11475728
1320031292,0.88491064,0.115089305
1320035402,0.7533622,0.24663776
1320035532,0.6878189,0.31218112
1320036032,0.8065292,0.19347078
1320036142,0.84073013,0.15926994
1320037342,0.8873039,0.1126961
1320038493,0.8867611,0.11323879
1320040872,0.9419161,0.058083832
1330006212,0.9906809,0.009319099
1330007723,0.99814177,0.001858283
1330010923,0.7570673,0.24293268
1330014893,0.8252697,0.17473026
1330015103,0.8538826,0.14611742
1420040083,0.97978127,0.020218696
1420043703,0.9650437,0.034956224
1420045233,0.97401935,0.025980685
1420049113,0.9379326,0.062067408
1430002253,0.9882765,0.0117235
1430002872,0.9994881,0.0005118476
1430004273,0.9819686,0.018031456
1430004323,0.9961392,0.003860825
1430005083,0.9984334,0.001566568
1440001863,0.9935117,0.0064883814
1440005913,0.9604133,0.03958674
1440011113,0.9560322,0.043967824
1450003703,0.97101617,0.028983794
1450007622,0.9870733,0.012926732
1450009543,0.9686131,0.03138685
1450009923,0.99471563,0.0052843634
1450011142,0.98952764,0.010472377
1450012863,0.93560517,0.0643948
1450014203,0.9949844,0.005015652
1460002782,0.9970022,0.0029977858
1460009393,0.9668697,0.033130277
1510001923,0.76903635,0.2309636
1510006093,0.9655136,0.034486376
1510006393,0.99076337,0.009236647
1530011512,0.97731507,0.022684919
1620001552,0.9257304,0.07426959
1620004522,0.9424954,0.057504516
1620008282,0.94777656,0.052223522
1620023612,0.94961,0.05038994
1620031802,0.9496172,0.05038283
1620032342,0.949523,0.05047709
1620034183,0.94935817,0.050641812
1620063302,0.9512935,0.048706453
1720000552,0.7380496,0.26195037
1720001282,0.74003845,0.25996158
1720001342,0.73507744,0.2649226
1720003902,0.7130226,0.28697744
1720003932,0.5805207,0.41947934
1720004142,0.5995364,0.40046355
1720004172,0.759313,0.24068706
1720004433,0.75991255,0.24008751
1720004453,0.8088101,0.1911899
1720007172,0.78211826,0.21788174
1720008692,0.7537792,0.24622086
1720009413,0.8087486,0.19125141
1720010272,0.7823782,0.21762183
1720010283,0.8735627,0.12643737
1720033122,0.9226247,0.07737528
1720041492,0.5185915,0.48140845
1720041532,0.51962453,0.48037547
1720046943,0.6156292,0.38437077
1720052653,0.9477155,0.05228453
1720053693,0.9274825,0.0725175
1720054503,0.903545,0.09645494
1720056903,0.9717573,0.028242739
1810025102,0.99113137,0.008868605
1810030972,0.74124795,0.2587521
1810042913,0.84501743,0.15498257
1810079153,0.98399943,0.016000602
2110017972,0.8257781,0.17422184
2110020813,0.962747,0.03725297
2110024562,0.98945403,0.010545972
2110026463,0.9800182,0.019981733
2130000053,0.94976753,0.050232492
2130000103,0.95418257,0.045817427
2130000133,0.95019484,0.04980519
2130000363,0.996946,0.0030539967
2130002132,0.8250418,0.17495823
2130004282,0.8378961,0.16210383
2130004742,0.9820994,0.01790063
2130012372,0.99104697,0.008953047
2130012773,0.9628408,0.03715923
2130026062,0.98733926,0.012660784
2130026152,0.99678195,0.0032180685
2140010663,0.9920515,0.007948508
2140010713,0.9679493,0.03205076
2140010723,0.96796334,0.032036573
2140014592,0.97129726,0.028702669
2140016022,0.95176786,0.048232097
2150005082,0.9767228,0.02327718
2160009382,0.8267478,0.17325217
2160009923,0.9852396,0.014760457
2160046863,0.929298,0.070702046
2210000352,0.81128275,0.18871723
2220000093,0.99819076,0.0018092305
2220014373,0.9840735,0.015926452
2230005753,0.97967315,0.020326903
2230021903,0.99649644,0.0035036185
2230037623,0.99022865,0.009771341
2230043572,0.99027836,0.009721672
2230044463,0.98930216,0.010697821
2230062373,0.9868003,0.013199659
2230073093,0.9873717,0.012628368
2240011142,0.99485224,0.0051477463
2250031083,0.9877733,0.0122267585
2250031093,0.9932604,0.0067397403
2250061402,0.96299523,0.03700483
2250061733,0.98315465,0.0168453
2250085593,0.99534446,0.0046555405
2250088883,0.9931487,0.0068513695
2250088893,0.99457294,0.005427031
