lake_id,arc1,arc2,arc3
1150000822,0.1141849,0.379326,0.50648916
1150001092,0.101264104,0.2722473,0.6264886
1150002502,0.4706853,0.10845558,0.42085913
1150002592,0.21166374,0.4830911,0.3052452
1150003802,0.09211116,0.37475595,0.53313285
1150004092,0.28886664,0.56021476,0.1509186
1150005262,0.22853509,0.16291894,0.608546
1150005972,0.49333784,0.2841876,0.2224746
1150007303,0.30981717,0.4720517,0.21813114
1150008142,0.27317238,0.33023876,0.39658886
1160000282,0.39613867,0.3628172,0.24104421
1170006442,0.2592467,0.61874557,0.12200776
1170013163,0.059396572,0.07898066,0.8616228
1170013972,0.28066278,0.6616208,0.057716478
1170014783,0.03849521,0.06302823,0.89847654
1220005463,0.43614674,0.26411855,0.2997347
1220013612,0.5729832,0.36908332,0.057933416
1220053053,0.3905995,0.33459708,0.2748034
1220056833,0.30947563,0.2121244,0.47839993
1220056903,0.3032536,0.4131952,0.28355122
1230003032,0.4641255,0.4022488,0.13362569
1230009732,0.14718819,0.4210587,0.43175316
1240009142,0.07432074,0.15758239,0.76809686
1240018052,0.3372045,0.24875908,0.41403642
1240019053,0.51607543,0.16485031,0.31907424
1250034252,0.5546179,0.16660988,0.27877223
1250051122,0.22431679,0.22750022,0.548183
1250064892,0.6188249,0.23424621,0.146929
1270003322,0.07076264,0.57211864,0.35711876
1270024123,0.1755087,0.6742699,0.15022138
1270028303,0.13487582,0.5847936,0.28033054
1270040752,0.14403221,0.10960488,0.74636286
1270041163,0.101496585,0.84160864,0.05689479
1270045763,0.093099855,0.75252813,0.15437204
1270054173,0.064028405,0.8271655,0.1088061
1310000402,0.43467265,0.327144,0.23818335
1310005562,0.7717137,0.107278615,0.12100766
1320012743,0.74424666,0.18948051,0.0662728
1320015733,0.29312658,0.5906491,0.11622426
1320015883,0.23135005,0.21763758,0.5510124
1320018042,0.35862818,0.5532171,0.08815469
1320022222,0.297928,0.34325516,0.3588168
1320023692,0.12225851,0.26947698,0.6082645
1320023702,0.36192468,0.37783846,0.26023686
1320026362,0.13657923,0.8071312,0.056289542
1320028172,0.6900874,0.17047995,0.13943268
1320029763,0.34730953,0.5292066,0.12348391
1320030072,0.25448364,0.4811421,0.2643742
1320031272,0.71914905,0.24250259,0.038348377
1320031292,0.41406962,0.5177413,0.06818909
1320035402,0.5368823,0.34347856,0.119639166
1320035532,0.4790612,0.255134,0.26580486
1320036032,0.40160996,0.3073643,0.2910257
1320036142,0.34181002,0.30763736,0.35055268
1320037342,0.6138126,0.054717857,0.3314695
1320038493,0.577688,0.33313715,0.08917491
1320040872,0.36903697,0.29584774,0.33511528
1330006212,0.32592607,0.32024223,0.35383177
1330007723,0.3544196,0.37796688,0.26761347
1330010923,0.107115485,0.7426564,0.15022813
1330014893,0.32696822,0.3542171,0.3188147
1330015103,0.25701192,0.31313372,0.42985436
1420040083,0.12336534,0.4291345,0.4475001
1420043703,0.40142614,0.090729184,0.5078447
1420045233,0.50462294,0.2603644,0.23501267
1420049113,0.13818859,0.591122,0.27068937
1430002253,0.28874522,0.33387518,0.3773796
1430002872,0.5670565,0.2745313,0.15841225
1430004273,0.07639353,0.46107438,0.4625321
1430004323,0.102193676,0.17313397,0.7246724
1430005083,0.28239235,0.26279444,0.45481324
1440001863,0.24341573,0.28657258,0.4700117
1440005913,0.14383587,0.7907868,0.06537734
1440011113,0.06739692,0.8114895,0.12111357
1450003703,0.66900796,0.068592876,0.26239917
1450007622,0.16987158,0.5909327,0.2391957
1450009543,0.027642328,0.14943138,0.82292634
1450009923,0.29024115,0.25786382,0.451895
1450011142,0.08883351,0.7254634,0.18570307
1450012863,0.6151535,0.14552507,0.23932147
1450014203,0.1827368,0.38068008,0.43658313
1460002782,0.13834693,0.05602585,0.8056272
1460009393,0.09579088,0.4259594,0.4782497
1510001923,0.13686727,0.21356964,0.64956313
1510006093,0.6418317,0.109726846,0.2484415
1510006393,0.7504688,0.21332924,0.03620192
1530011512,0.20348431,0.19542564,0.60109013
1620001552,0.46123692,0.3722965,0.16646664
1620004522,0.332029,0.32508054,0.3428905
1620008282,0.10710432,0.30361053,0.5892852
1620023612,0.111344546,0.17676893,0.7118866
1620031802,0.03330628,0.8972941,0.0693996
1620032342,0.35404736,0.14250317,0.50344956
1620034183,0.44406512,0.12805314,0.42788178
1620063302,0.1498089,0.5237231,0.32646805
1720000552,0.32726747,0.20378071,0.4689518
1720001282,0.5762813,0.11576372,0.30795494
1720001342,0.8491975,0.05331817,0.09748431
1720003902,0.40642688,0.32611293,0.26746017
1720003932,0.5802364,0.31798437,0.101779215
1720004142,0.4998816,0.22437832,0.27574006
1720004172,0.3180608,0.5695129,0.112426355
1720004433,0.30418387,0.4268645,0.26895165
1720004453,0.35901675,0.29948148,0.34150177
1720007172,0.18174398,0.48712578,0.33113024
1720008692,0.03562056,0.030508468,0.933871
1720009413,0.17334619,0.15836638,0.66828746
1720010272,0.48162526,0.3461073,0.17226747
1720010283,0.3054278,0.39797658,0.29659557
1720033122,0.4922554,0.20731214,0.3004324
1720041492,0.30342114,0.4477115,0.2488674
1720041532,0.19782867,0.23208366,0.57008773
1720046943,0.6608178,0.08676593,0.25241625
1720052653,0.19484213,0.5795542,0.22560374
1720053693,0.41089416,0.5263406,0.0627652
1720054503,0.21897681,0.3288375,0.45218572
1720056903,0.19307551,0.29272246,0.51420206
1810025102,0.8699931,0.08165673,0.04835021
1810030972,0.20362635,0.6530507,0.14332297
1810042913,0.35665208,0.48629808,0.15704983
1810079153,0.21454169,0.1454309,0.64002746
2110017972,0.32219478,0.26983058,0.40797466
2110020813,0.39036426,0.5276951,0.08194055
2110024562,0.18602352,0.47279572,0.34118077
2110026463,0.1834413,0.40274,0.4138187
2130000053,0.22807238,0.32106838,0.45085925
2130000103,0.5690736,0.29197562,0.13895082
2130000133,0.26003045,0.5021626,0.23780695
2130000363,0.26050082,0.42360216,0.31589702
2130002132,0.38215825,0.15342398,0.46441776
2130004282,0.52942425,0.1835244,0.28705126
2130004742,0.18727313,0.27139473,0.5413321
2130012372,0.14718112,0.7147694,0.13804947
2130012773,0.119798735,0.8693565,0.010844718
2130026062,0.6781207,0.086329475,0.23554978
2130026152,0.4167984,0.16509396,0.41810763
2140010663,0.5483469,0.043874905,0.40777823
2140010713,0.40305972,0.3036739,0.29326642
2140010723,0.52028656,0.19966695,0.28004646
2140014592,0.78043103,0.08934823,0.13022074
2140016022,0.14682993,0.028450863,0.8247192
2150005082,0.73121357,0.23066442,0.038122002
2160009382,0.3771903,0.55138105,0.07142872
2160009923,0.46251184,0.38772956,0.14975853
2160046863,0.1686137,0.5519292,0.27945712
2210000352,0.044252828,0.04910542,0.9066417
2220000093,0.30196106,0.24249068,0.4555483
2220014373,0.10903221,0.8028495,0.08811835
2230005753,0.23836273,0.5470983,0.2145389
2230021903,0.26715213,0.2737,0.4591479
2230037623,0.20783612,0.46699986,0.32516405
2230043572,0.38473457,0.18265751,0.4326079
2230044463,0.24264479,0.5019005,0.2554547
2230062373,0.29293227,0.25140515,0.4556626
2230073093,0.5632085,0.21022892,0.22656257
2240011142,0.3010317,0.29445472,0.40451357
2250031083,0.63458246,0.2179665,0.1474511
2250031093,0.29687285,0.5059019,0.19722532
2250061402,0.13407487,0.3985542,0.46737087
2250061733,0.52843696,0.19296813,0.27859494
2250085593,0.26712257,0.4097802,0.32309726
2250088883,0.38236645,0.29898572,0.31864792
2250088893,0.29140228,0.4541533,0.25444448
2260001413,0.19877905,0.4719482,0.3292728
2260031472,0.72286475,0.17453022,0.10260509
2270004543,0.3608474,0.2974265,0.34172615
2270044463,0.027028771,0.16167203,0.8112992
2270044473,0.05361659,0.47252607,0.47385737
2270060992,0.3735615,0.0708686,0.5555698
2270067462,0.5251187,0.3547647,0.12011658
2270102272,0.3016309,0.24759962,0.45076942
2270104842,0.38684154,0.5027708,0.11038767
2270128153,0.55770373,0.37176567,0.070530616
2270139412,0.5579718,0.25855666,0.18347158
2270141422,0.24515197,0.11100082,0.6438472
2280004602,0.08398328,0.14289625,0.7731205
2310000023,0.61878955,0.19372489,0.18748559
2310000033,0.06557336,0.7409343,0.19349235
2310000123,0.1666952,0.48892295,0.34438187
2310015232,0.30849415,0.24518123,0.44632462
2310020152,0.20147495,0.5813976,0.21712743
2310028243,0.16554938,0.0990551,0.7353955
2310028273,0.80146414,0.14046377,0.058072004
2310028773,0.7973738,0.15907735,0.043548852
2320004122,0.14071205,0.30724075,0.5520472
2320145113,0.44958746,0.1707862,0.37962633
2320145123,0.60190976,0.17707384,0.2210164
2320145143,0.62407523,0.20065714,0.17526759
2320145153,0.1307231,0.3651854,0.5040915
2320145163,0.41083023,0.5443128,0.044857044
2320145183,0.050756045,0.15799484,0.7912491
2320145942,0.049390983,0.03887703,0.91173196
2320146452,0.17109057,0.30696347,0.52194595
2320148232,0.94283736,0.040378664,0.016783962
2320253402,0.27247643,0.13815874,0.5893649
2320269562,0.58277774,0.091557965,0.32566425
2330001913,0.19165331,0.55671513,0.25163162
2330041242,0.2028941,0.21751139,0.5795945
2330042812,0.1759469,0.1800212,0.64403194
2330047972,0.10371467,0.51221573,0.38406968
2330048832,0.044932593,0.76787007,0.18719731
2330055852,0.34461507,0.19734006,0.45804486
2340000023,0.32556275,0.2819508,0.3924864
2340009563,0.3455701,0.4123239,0.24210599
2340009603,0.32476354,0.34698153,0.32825497
2340009632,0.096627094,0.24341263,0.6599602
2340009652,0.59975326,0.2738346,0.12641212
2410001812,0.49737558,0.16850246,0.33412194
2420056132,0.42811233,0.075086184,0.49680153
2420056183,0.6302993,0.28744134,0.08225937
2420103152,0.36173135,0.18622547,0.4520432
2420109812,0.3056796,0.014768445,0.67955196
2420114672,0.48450378,0.2634824,0.2520138
2420124262,0.23183191,0.41745722,0.35071087
2420124352,0.47476438,0.21937303,0.3058626
2420148343,0.7878076,0.1565864,0.055606104
2420169883,0.27973217,0.3567689,0.36349893
2420171232,0.14746647,0.7141071,0.13842645
2420183212,0.17172188,0.20999993,0.6182782
2420190622,0.18095301,0.5250104,0.29403657
2420198012,0.6638999,0.15116152,0.18493852
2420198232,0.30579564,0.20007476,0.49412966
2420200012,0.26872483,0.38146994,0.34980524
2420211152,0.70077413,0.27849573,0.020730032
2420211453,0.10184221,0.8168951,0.08126262
2420211463,0.26645407,0.55498445,0.1785614
2420211473,0.51232177,0.1577383,0.3299399
2420211493,0.20029505,0.4158513,0.38385367
2420212722,0.18221469,0.7907751,0.027010283
2420216142,0.89958525,0.05324392,0.047170866
2420223932,0.089693174,0.53714055,0.37316632
2420224842,0.4952318,0.13847518,0.36629304
2420247492,0.41005903,0.1571176,0.43282333
2430002252,0.22760603,0.031406343,0.7409876
2430007562,0.56470144,0.12786001,0.30743855
2430013653,0.20314255,0.5566199,0.24023761
2430018852,0.5942941,0.2844959,0.12121005
2430022262,0.14165887,0.20694599,0.6513952
2430032542,0.7297649,0.20630904,0.0639261
2430032782,0.4748692,0.45403388,0.07109697
2430039872,0.1590699,0.40905288,0.43187723
2430040072,0.2572262,0.578389,0.16438484
2430049102,0.09049828,0.43847585,0.47102585
2430049112,0.42202717,0.2231279,0.35484496
2430049822,0.26096472,0.3111779,0.4278574
2430050912,0.6728236,0.28097367,0.046202704
2430051262,0.13225183,0.736247,0.13150112
2430051352,0.19086877,0.11770153,0.69142973
2430052952,0.2190714,0.5036561,0.2772725
2430057462,0.18242994,0.35157767,0.46599242
2430057482,0.34013575,0.30032602,0.35953823
2430073032,0.5006265,0.36466834,0.1347052
2430082632,0.14208452,0.22209375,0.6358217
2430089002,0.45433044,0.21226838,0.33340114
2430089012,0.44146127,0.32779342,0.23074532
2430089022,0.11798525,0.5500974,0.33191735
2430090182,0.28703025,0.63281715,0.08015251
2430090663,0.4174081,0.4190447,0.16354723
2430092802,0.8784731,0.08258957,0.038937345
2430094883,0.33743772,0.47348496,0.18907732
2430096262,0.63760906,0.2668509,0.095539995
2430107363,0.18529254,0.33411244,0.48059505
2430107373,0.7434334,0.25002623,0.0065403925
2430109252,0.22661375,0.32917452,0.44421178
2430120303,0.12886304,0.61342853,0.25770843
2430120723,0.4496378,0.48118,0.06918216
2430120922,0.14189698,0.6938754,0.16422756
2430120932,0.37021577,0.40508872,0.22469558
2430130682,0.5468625,0.22956996,0.22356759
2430132242,0.2823897,0.37395296,0.34365737
2430149483,0.27058887,0.30382878,0.4255824
2430149653,0.085142024,0.40328515,0.51157284
2430149783,0.6531001,0.23620303,0.110696845
2430149842,0.08417503,0.47298592,0.44283897
2430152152,0.23217645,0.4830217,0.28480184
2430156432,0.2034063,0.3323388,0.4642549
2430156902,0.8247182,0.058990728,0.11629104
2430166882,0.015285685,0.52151406,0.4632002
2430175082,0.09049217,0.015602925,0.89390486
2430180142,0.33687246,0.2005808,0.46254674
2430182622,0.26908797,0.18467507,0.5462369
2430182692,0.3328595,0.3433503,0.3237902
2430185162,0.19388244,0.28420243,0.52191514
2430186442,0.29714364,0.32688352,0.3759729
2430190002,0.6414726,0.20321518,0.15531221
2430195222,0.65428567,0.21178621,0.1339281
2430201522,0.6390292,0.12455316,0.2364176
2430215162,0.3539031,0.32630527,0.31979164
2430215172,0.16866948,0.08746277,0.74386775
2430215182,0.10281302,0.5728135,0.32437348
2430215192,0.2276786,0.48828804,0.28403336
2430215202,0.41325554,0.33365995,0.25308454
2430215282,0.8053166,0.056007773,0.13867562
2430217572,0.13781433,0.7172725,0.1449132
2430217602,0.08782773,0.8588905,0.05328177
2430218272,0.38116288,0.5460492,0.07278791
2430219282,0.14696905,0.6090281,0.24400282
2430219322,0.6208962,0.25049847,0.1286053
2430219873,0.61443627,0.17145461,0.21410912
2430219882,0.11705344,0.35810027,0.5248463
2430219902,0.56655693,0.33712828,0.0963148
2430224112,0.41220462,0.30990008,0.27789527
2430227292,0.14257722,0.6946052,0.16281751
2430231332,0.7465075,0.13837746,0.11511498
2430231562,0.08011604,0.7649627,0.1549213
2430231573,0.43136787,0.12425627,0.44437584
2430231583,0.6560756,0.1823921,0.16153225
2430232482,0.33597347,0.3793819,0.28464457
2430235743,0.2966427,0.3366233,0.366734
2430269672,0.4738235,0.36809263,0.15808389
2430269732,0.3513101,0.08166406,0.5670259
2430269883,0.752064,0.07845491,0.1694811
2430270323,0.5774601,0.33514875,0.087391086
2430276873,0.21843077,0.3412571,0.44031215
2430279392,0.12443417,0.31826413,0.5573017
2430281272,0.33874285,0.5072656,0.15399145
2430281712,0.0055845343,0.018069986,0.9763455
2430281932,0.46968853,0.1653881,0.3649234
2430301672,0.551265,0.3093282,0.13940676
2430304182,0.4322139,0.42388523,0.1439009
2430306733,0.41471857,0.2312022,0.35407925
2430308852,0.54333276,0.20177846,0.25488883
2430314662,0.53705776,0.20117734,0.2617649
2430314822,0.08348204,0.25319013,0.6633278
2430315203,0.49352083,0.18748397,0.31899518
2430315713,0.056777358,0.6592872,0.28393537
2430323663,0.40456098,0.312235,0.28320402
2430340143,0.6155598,0.25575733,0.12868284
2430340702,0.7655248,0.11515019,0.11932497
2430341053,0.25960413,0.102191195,0.63820463
2430341733,0.2224882,0.5089251,0.2685868
2430341843,0.073813505,0.08744215,0.8387443
2430360692,0.53741044,0.12603937,0.33655015
2430367792,0.2706935,0.39963746,0.32966897
2430368042,0.24745451,0.5062432,0.24630229
2430368102,0.15632306,0.7337826,0.10989435
2430369432,0.27664235,0.24674971,0.47660795
2430369582,0.15084176,0.35275406,0.49640423
2430374052,0.21453255,0.22559401,0.55987346
2430377953,0.2174809,0.632797,0.14972214
2430378782,0.40362263,0.5085738,0.0878036
2430382423,0.24731511,0.3338481,0.41883683
2430382503,0.57014877,0.11516593,0.31468534
2430382882,0.2801108,0.08682011,0.63306904
2430394522,0.5596014,0.09965915,0.3407395
2430401062,0.57347906,0.2979331,0.12858787
2430401782,0.23434593,0.22819689,0.5374572
2430411422,0.095449924,0.53110236,0.37344775
2430413382,0.3223715,0.100456655,0.57717186
2430432123,0.406837,0.3473767,0.24578635
2430432293,0.1446255,0.16506498,0.6903095
2430434302,0.05199909,0.29687613,0.6511248
2430440632,0.2595093,0.7158459,0.024644779
2430440752,0.3425936,0.41729242,0.24011396
2430440772,0.340307,0.27702948,0.3826635
2430440782,0.5035891,0.34182343,0.15458743
2430440872,0.35512823,0.43601876,0.20885305
2430441233,0.25661758,0.41294768,0.3304348
2430455603,0.45515576,0.09871612,0.44612813
2430455613,0.24390137,0.4513027,0.30479598
2440001572,0.24956076,0.6848646,0.06557459
2440003262,0.32155448,0.36948365,0.30896184
2440022142,0.7020056,0.22264409,0.075350255
2440022282,0.47636744,0.12253288,0.40109962
2440022513,0.5483159,0.1317324,0.3199518
2440038652,0.49313807,0.15835054,0.34851146
2440044402,0.23634171,0.5091464,0.25451195
2440048592,0.1917606,0.49342605,0.31481332
2440055862,0.64655197,0.07186299,0.2815851
2440060312,0.025073377,0.5280616,0.44686496
2440060322,0.5165834,0.11815937,0.36525723
2440072192,0.34062126,0.506313,0.15306576
2440082412,0.17603935,0.44508886,0.37887174
2440083022,0.33535722,0.46010256,0.20454018
2440083032,0.43196142,0.04683579,0.5212028
2440083223,0.7094394,0.115106605,0.17545402
2440083233,0.14876346,0.36381194,0.48742455
2440083892,0.28491026,0.17704341,0.5380463
2440101662,0.7536532,0.20946957,0.03687716
2440101722,0.28291407,0.5692278,0.1478581
2440119262,0.3996996,0.32494298,0.27535743
2440119282,0.20790926,0.5787887,0.21330208
2440119292,0.18869181,0.14427218,0.66703594
2440119323,0.07699008,0.2624607,0.66054916
2440129103,0.5616702,0.26012373,0.17820615
2440130433,0.5792789,0.11464322,0.30607793
2440132572,0.27729958,0.5302198,0.1924806
2440148013,0.10846709,0.14255027,0.7489826
2440177782,0.28673905,0.43299788,0.28026307
2440192373,0.27172178,0.20183478,0.5264435
2440192563,0.45904335,0.33384272,0.20711395
2440201692,0.25790697,0.18913378,0.5529592
2440206682,0.58792275,0.22106306,0.19101416
2440208113,0.1857389,0.2669257,0.5473354
2440208172,0.48862106,0.27308148,0.23829745
2440210482,0.26375675,0.5076659,0.22857739
2440214292,0.6527274,0.15803428,0.18923831
2440218592,0.31615958,0.15321186,0.53062856
2440224732,0.34948185,0.36451632,0.2860019
2440224752,0.0941849,0.5535389,0.35227615
2440224773,0.19359846,0.45396712,0.35243446
2440247642,0.46951976,0.3023197,0.22816047
2440247653,0.07083902,0.25576338,0.6733976
2440247662,0.3135077,0.4869197,0.19957264
2440257232,0.43502218,0.079929784,0.48504812
2440260052,0.15115567,0.58057296,0.26827142
2440260062,0.27378455,0.12025764,0.60595787
2440260072,0.09466369,0.6497619,0.25557443
2440260193,0.109904915,0.55760014,0.33249488
2440260203,0.4271233,0.19493933,0.3779373
2440260723,0.43461514,0.11649629,0.44888863
2440261452,0.2656276,0.5864949,0.14787753
2440265092,0.20349099,0.09836123,0.6981477
2440269892,0.2190016,0.24735574,0.53364265
2440273723,0.16769262,0.27878729,0.55352014
2440273823,0.1204074,0.6702237,0.20936897
2440286252,0.45041528,0.3484001,0.20118466
